Video title: Deze adembenemende nieuwe dingen kan ChatGPT nu ｜ ✨ Poki
Youtube video code: 1uKHG0p8f_s
Last modified time: 2024-05-14 18:27:38

------------------ 

[0.00 --> 7.00]  MUZIEK
[1073.34 --> 1077.44]  Dus niet alleen kan je via je camera beeld streamen naar de AI...
[1077.44 --> 1080.76]  Je kunt ook je hele scherm streamen naar ChatGPT.
[1080.88 --> 1084.08]  Waardoor je op een iPad natuurlijk het mooist...
[1084.08 --> 1087.72]  ChatGPT aan de ene kant hebt en dan een of andere app.
[1087.76 --> 1088.26]  Maakt niet uit.
[1088.64 --> 1091.06]  En dan vragen kan stellen of er hetgeen er op het scherm staat.
[1091.06 --> 1093.06]  En dan is het zelfs zo dat je...
[1093.06 --> 1098.44]  Als je een grafiek voor je hebt waar je een rekensom over wil doen...
[1098.44 --> 1101.88]  Dat je met dat pennetje wat erbij zit nog een cirkeltje kan trekken...
[1101.88 --> 1103.76]  En dan zeggen, is dit waar ik iets moet doen?
[1103.82 --> 1105.40]  Dat dat ding dan zegt, nee dat is het niet.
[1105.66 --> 1106.48]  Denk nog eens even na.
[1106.98 --> 1112.16]  En zo neemt hij je stap voor stap mee in wat de stappen zijn om die som op te lossen.
[1112.28 --> 1116.84]  Het feit dat je audio en video kan streamen naar dat ding...
[1116.84 --> 1121.28]  Dat is wel eventjes een soort van bak met mogelijkheden die open...
[1121.28 --> 1121.48]  Ja.
[1121.94 --> 1123.20]  En dit is nog maar het begin.
[1123.76 --> 1124.56]  Dit is echt nog maar het begin.
[1124.64 --> 1126.28]  Want ik zit ook te denken...
[1126.28 --> 1129.18]  Zeg maar die Rabbit R1 en die Humane AI-pin.
[1129.32 --> 1130.52]  Ik ben ze gewoon alweer vergeten.
[1130.78 --> 1131.80]  Helemaal dood van mij nu.
[1132.08 --> 1132.88]  Ja, sorry dat ik het zeg.
[1132.94 --> 1135.16]  Maar dat is echt niks in vergelijking met wat we nu hebben gezien.
[1135.30 --> 1135.50]  Sorry.
[1136.10 --> 1138.88]  Ja, wel als die software op die AI-pin komt en alles wordt geupdat...
[1138.88 --> 1140.08]  Ja, dat kan ik toch wel aan.
[1140.70 --> 1142.88]  Ja, dat kan net als een muis...
[1142.88 --> 1145.54]  Dat je een muis kan aansluiten op je computer.
[1145.68 --> 1147.78]  Als extra device kan je een pin gebruiken.
[1147.86 --> 1148.02]  Ja.
[1148.14 --> 1150.56]  Als die maar zo snel mogelijk gaat communiceren met open AI weer.
[1150.62 --> 1151.82]  Want daar zit de echte magic.
[1152.12 --> 1153.92]  Even zo, los van de laserprojector.
[1154.34 --> 1156.88]  Dat ik wel me nu echt kan voorstellen...
[1157.60 --> 1158.92]  Kijk, meekijken op je computer.
[1158.92 --> 1162.16]  Er is ook een Mac companion app nu van open AI die je kan installeren.
[1162.26 --> 1164.78]  Waardoor je een soort serie krijgt van hun op jouw Mac.
[1164.78 --> 1167.58]  Die je toegang kan geven tot de screencapture.
[1167.70 --> 1168.90]  En dus constant mee kan kijken.
[1169.52 --> 1171.34]  Dus ja.
[1172.30 --> 1174.32]  We gaan heel tot nu allemaal voorbeelden verzinnen.
[1174.42 --> 1175.58]  Omdat we aan de mensen willen laten weten.
[1176.02 --> 1177.68]  Terwijl, daar kunnen we uren doen.
[1177.80 --> 1179.10]  Maar ik ga er toch weer eentje doen.
[1179.44 --> 1181.64]  Is gewoon je calendar app openen.
[1181.84 --> 1182.38]  En dan zeggen.
[1182.92 --> 1183.34]  Wat vind jij?
[1183.76 --> 1184.56]  Heftig weekje of niet?
[1184.82 --> 1186.14]  En dat je dan iemand terugkrijgt zo.
[1186.52 --> 1187.56]  Een van de Rotterdammer.
[1187.56 --> 1188.38]  Ja man.
[1188.64 --> 1190.10]  Ja, je moet echt...
[1190.10 --> 1190.76]  Heet je, gast.
[1190.92 --> 1191.40]  Kom op mee.
[1191.64 --> 1191.86]  Weet je?
[1191.98 --> 1193.82]  Ik bedoel, dat hele sfeertje.
[1194.32 --> 1195.92]  Ja, je kan gewoon...
[1195.92 --> 1197.00]  Dit is er nu eigenlijk.
[1197.26 --> 1199.28]  Ik bedoel, we kunnen het nog niet helemaal downloaden volgens mij.
[1199.40 --> 1201.20]  Maar ik ga er even vanuit dat dat straks kan.
[1201.90 --> 1202.06]  Ja.
[1202.66 --> 1202.84]  Ja.
[1203.22 --> 1207.44]  Maar het idee dat je dus een soort laag op je OS hebt.
[1207.56 --> 1211.20]  Van een AI die kan meekijken met wat er op je scherm gebeurt.
[1211.20 --> 1215.36]  Want het is wel weer echt een hele fundamentele stap dichterbij.
[1215.60 --> 1215.76]  Ja.
[1215.98 --> 1217.40]  Het idee van agents.
[1217.56 --> 1218.62]  Die dan daadwerkelijk ook.
[1218.74 --> 1218.88]  Weet je.
[1218.94 --> 1220.52]  Stel, je hebt een mail openstaan.
[1220.94 --> 1224.44]  En daarin beloof je dat je iets zult gaan doen.
[1224.94 --> 1227.16]  En dat je dan aan de AI kan vragen.
[1227.30 --> 1229.94]  En dat is dan de companion app die op je Mac draait.
[1230.04 --> 1230.52]  Kan vragen.
[1230.66 --> 1232.18]  Oké, nou zet maar in mijn to-do app.
[1232.76 --> 1234.94]  Dat die begrijpt waar dat over gaat.
[1234.94 --> 1237.60]  Dat die er een to-do van maakt.
[1237.72 --> 1238.58]  De tekst ervan.
[1238.74 --> 1240.94]  Dat die begrijpt dat die de to-do app moet openen.
[1241.48 --> 1242.86]  En dat erin moet zetten.
[1243.50 --> 1245.82]  Daar zijn we nu echt heel erg dichtbij.
[1246.42 --> 1251.60]  En wat er nu al kan.
[1251.74 --> 1252.30]  Daar hoef je niet.
[1252.70 --> 1254.28]  Zoals in de toekomst voor te kijken.
[1254.78 --> 1256.46]  Is ook al vrij bizar.
[1256.84 --> 1258.36]  Ik vind het hele idee dat.
[1259.16 --> 1260.70]  Hoeveel ouders hebben kinderen.
[1260.90 --> 1262.22]  En komen op een gegeven moment in de problemen.
[1262.26 --> 1265.76]  Omdat ze de wiskundesommen die ze op de middelbare school krijgen.
[1265.94 --> 1266.22]  De kinderen.
[1266.54 --> 1268.30]  Weet de ouders niet meer hoe ze het moeten oplossen.
[1268.38 --> 1269.40]  Omdat ze te ingewikkeld worden.
[1269.40 --> 1272.78]  Dat er een permanente tutor is.
[1272.98 --> 1276.12]  Die alle vragen kan beantwoorden.
[1276.22 --> 1277.70]  En kan uitleggen op een manier.
[1278.32 --> 1279.42]  Dat je het begrijpt.
[1279.90 --> 1282.22]  Ja, dat is insane.
[1282.60 --> 1283.58]  Heb je die gezien?
[1283.88 --> 1286.64]  Dat is die OpenAI app.
[1287.02 --> 1288.44]  Wat is zo'n wit vierkantje is.
[1288.44 --> 1289.70]  Met een balletje op MacOS.
[1289.70 --> 1292.00]  Toevoegen in een Teams call.
[1293.00 --> 1293.40]  Toevoegen.
[1293.62 --> 1294.56]  De grap is juist.
[1295.14 --> 1296.40]  Er is dus geen plugin nodig.
[1296.50 --> 1297.18]  Er is niks nodig.
[1297.32 --> 1298.40]  Want dat ding draait gewoon mee.
[1298.58 --> 1299.72]  En die kan jouw scherm zien.
[1299.82 --> 1300.90]  En ook meedoen met audio.
[1301.56 --> 1302.76]  En dan hebben ze een groepsgesprek.
[1302.84 --> 1303.82]  Gewoon in een klassieke.
[1303.96 --> 1305.86]  Noem het legacy Teams omgeving.
[1306.08 --> 1307.56]  Het ziet slechte webscams.
[1307.56 --> 1308.36]  Gekraakt en gedoe.
[1308.92 --> 1310.50]  En dan is dat vierkantje er ook bij.
[1310.64 --> 1312.42]  En die rift gewoon mee in dat gesprek.
[1312.64 --> 1313.30]  Het gaat voor mij over.
[1313.38 --> 1315.20]  Zijn honden of katten leuker of zo?
[1315.38 --> 1315.48]  Ja.
[1315.72 --> 1316.04]  En dan.
[1316.54 --> 1318.56]  Ik vond het echt interessant.
[1318.80 --> 1320.02]  En ik moet wel zeggen.
[1321.00 --> 1321.26]  Wat je.
[1322.18 --> 1324.06]  Dat zegt ook wel wat over de technologie.
[1324.56 --> 1326.18]  Ik zie heel veel reacties op.
[1326.18 --> 1329.16]  De te enthousiaste stem.
[1330.16 --> 1330.20]  Of.
[1330.98 --> 1331.30]  Ja.
[1331.50 --> 1333.12]  Eigenlijk te jovel.
[1333.64 --> 1334.46]  Te blij.
[1334.62 --> 1335.28]  Te vrolijk.
[1336.24 --> 1337.08]  Te amikaal.
[1337.24 --> 1337.68]  Terwijl ik echt denk.
[1337.74 --> 1337.86]  Ja.
[1337.98 --> 1339.86]  Maar dat zijn knoppen waaraan gedraaid kan worden.
[1339.94 --> 1340.92]  Dit is ook gewoon cultuur.
[1341.04 --> 1344.10]  Want ik ben zelf een aantal keer in Amerika geweest.
[1344.54 --> 1346.18]  Dat is gewoon een andere energie.
[1346.38 --> 1346.54]  Ja.
[1346.60 --> 1347.74]  Ligt ook aan de staat waar je komt.
[1347.74 --> 1350.50]  Maar wat ik als dan nuchtere Nederlander.
[1350.56 --> 1352.36]  Altijd al een beetje ingewikkeld vond.
[1352.50 --> 1353.16]  In de lift.
[1353.28 --> 1354.92]  Alsof iemand mijn beste vriend was.
[1354.92 --> 1356.22]  En al honderd jaar niet gezien had.
[1356.32 --> 1356.64]  En ik dacht.
[1356.88 --> 1358.32]  We zien elkaar nu net voor het eerst.
[1358.84 --> 1359.74]  Maar dat is gewoon cultuur.
[1360.32 --> 1362.18]  En dat is iets wat er wel ingetraind kan worden.
[1362.38 --> 1362.72]  Natuurlijk.
[1363.08 --> 1363.24]  Ja.
[1363.32 --> 1365.70]  En dit is waar je custom.
[1366.60 --> 1367.32]  Hoe zeg je dat?
[1367.50 --> 1369.64]  Die system prompt die je kan instellen.
[1369.74 --> 1370.20]  Hoe noemen ze het nou?
[1370.30 --> 1371.44]  Custom GPT ofzo.
[1371.58 --> 1371.80]  Ja.
[1371.80 --> 1372.10]  Dat heeft een naam.
[1372.10 --> 1375.04]  Bij de Custom GPT ga je ook nog dingetjes erbij uploaden.
[1375.04 --> 1375.44]  Volgens mij.
[1375.56 --> 1376.30]  Maar zeker.
[1376.30 --> 1377.96]  Gewoon om jou te maken.
[1378.38 --> 1378.52]  Ja.
[1379.14 --> 1379.42]  Ja.
[1379.68 --> 1383.34]  En dan kun je de toon waarop je wil dat je GPT tegen je praat.
[1383.42 --> 1384.10]  Kun je veranderen.
[1384.10 --> 1387.32]  En daarmee ook de visie.
[1387.48 --> 1388.16]  Hoe zeg je dat?
[1388.24 --> 1389.68]  De emotie in de stem.
[1389.90 --> 1390.70]  Of de toon.
[1390.86 --> 1393.36]  Of hoe die moet klinken.
[1393.60 --> 1393.80]  Zeg maar.
[1394.08 --> 1396.10]  Dat kun je gewoon zelf instellen.
[1396.52 --> 1398.06]  Je ziet ook al die demo's.
[1398.06 --> 1400.22]  Beginnen ze met best wel goed prompten aan dat ding.
[1400.28 --> 1401.34]  Wat ze van dat ding verwachten.
[1401.68 --> 1401.80]  Ja.
[1401.92 --> 1403.82]  Dus bij die rekensom.
[1403.96 --> 1406.00]  Dat ding komt de hele tijd niet met oplossingen.
[1406.12 --> 1408.20]  Hij komt met stappen naar de oplossingen toe.
[1408.56 --> 1409.62]  Zoals een docent dat doet.
[1409.74 --> 1411.50]  Op het moment dat je wil leren aan een kind.
[1411.50 --> 1413.02]  Hoe die een bepaalde som moet oplossen.
[1413.66 --> 1414.92]  En dat is gewoon één zin.
[1415.18 --> 1417.10]  En vervolgens begint dat ding zich te gedragen.
[1417.22 --> 1418.62]  Zoals een goede leraar zich gedraagt.
[1418.70 --> 1421.36]  Maar hetzelfde zal zo zijn met die stemmen.
[1421.50 --> 1423.44]  Want je ziet dat in die video's de hele tijd gebeuren.
[1423.54 --> 1428.46]  Hij luistert heel goed naar hoe mensen willen dat die stem gaat klinken.
[1428.56 --> 1430.58]  En dat ding gedraagt zich daarnaar.
[1430.58 --> 1434.98]  Tot aan inderdaad harmoniseren met verschillende AI's samen.
[1435.20 --> 1436.52]  Om a cappella te zingen.
[1436.62 --> 1438.16]  Het is echt ongelooflijk.
[1438.84 --> 1445.16]  Dus ik denk dat de soort van de toon vinden die voor jezelf chill is.
[1445.24 --> 1446.04]  Daar is.
[1446.16 --> 1452.90]  Maar ik denk vooral dat het de reactie is van OpenAI op dat Chattipity toch ook een beetje voelt als.
[1452.98 --> 1453.86]  Hoe moet je dat nou zeggen?
[1453.86 --> 1458.90]  Het klinkt, hij voelt af en toe een beetje als Clippy van Microsoft qua vibe.
[1459.34 --> 1462.54]  Het soort van cringy en Amerikaans en te vreemdelijk en zo.
[1462.68 --> 1465.72]  En ze hebben hem nu echt wel menselijker gemaakt.
[1465.86 --> 1467.74]  En zelfs op het flirty af.
[1468.26 --> 1473.86]  Dus af en toe dan die stem die overduidelijk op Scarlett Johansson is gebaseerd.
[1473.86 --> 1476.34]  Ja, dit vond hij echt wel een ode aan de film Her.
[1476.50 --> 1480.32]  Of Her was de inspiratie om dit zover te pushen.
[1480.32 --> 1484.62]  Ja, maar het is dus inclusief diezelfde flirtiness.
[1485.28 --> 1486.14]  Het is echt...
[1486.14 --> 1488.02]  Ja, bijna giecheltjes en dingetjes.
[1488.28 --> 1489.04]  Ja, het zit er allemaal in.
[1489.18 --> 1491.32]  En ik moet zeggen dat...
[1492.24 --> 1494.70]  Ja, het voelt...
[1494.70 --> 1496.32]  Ik weet niet, ik vind het echt wel een...
[1497.36 --> 1498.54]  Ja, nu ik wil bijna...
[1498.54 --> 1501.66]  Ik wil niet te emotioneel maken of zo.
[1501.80 --> 1505.18]  Maar nu het er dan uiteindelijk echt is...
[1505.18 --> 1506.06]  Ik ga het toch gewoon zeggen.
[1506.16 --> 1507.22]  Het is er wat mij betreft nu.
[1507.30 --> 1508.30]  En wat bedoel ik dan met het is?
[1508.30 --> 1511.30]  Dus Alexander en ik staan al heel lang naast een grasveldje...
[1511.92 --> 1514.42]  Waar een soort papieren vliegtuigje probeert op te stijgen de hele tijd.
[1514.50 --> 1515.40]  En hij vliegt nu gewoon.
[1515.50 --> 1516.98]  Want het is voor mij echt wel een vliegmoment.
[1517.56 --> 1524.50]  Want het is groot omdat ik zie dat veel mensen om mij heen...
[1524.50 --> 1528.72]  Die tot nu toe een gratis versie van ChatGPT online getest hebben...
[1528.72 --> 1530.68]  En hebben gezegd tegen mij, het valt allemaal wel mee.
[1531.52 --> 1531.88]  Nu...
[1531.88 --> 1532.64]  Het valt tegen.
[1532.64 --> 1535.64]  Ja, als dit straks gratis in de app zit...
[1536.26 --> 1537.52]  Het zit sowieso gratis in de app.
[1537.60 --> 1539.38]  Maar waar wij het nu over hebben, vooral is die voice.
[1539.48 --> 1540.64]  Want volgens mij...
[1541.28 --> 1542.64]  Ik moet ook zeggen...
[1544.24 --> 1544.64]  Ik moest eventjes...
[1545.50 --> 1546.64]  Ook weer eventjes gaan...
[1546.64 --> 1548.48]  Ik heb die video een paar keer op pauze gezet.
[1548.76 --> 1549.82]  Dat ik dacht, even nadenken.
[1549.88 --> 1550.82]  Wat gebeurt hier nu eigenlijk?
[1551.72 --> 1556.30]  Ik zat op een bepaalde naïeve manier na te denken over GPT-5.
[1556.68 --> 1558.58]  En hoe zou dat dan beter worden in mijn hoofd?
[1558.62 --> 1559.76]  Dat zou dan slimmer worden.
[1559.76 --> 1561.98]  Dus het kan moeilijkere vragen beantwoorden.
[1562.10 --> 1566.80]  Ik had het soort van alleen maar als meetinstrument bedacht...
[1566.80 --> 1569.82]  Op al die tests van hoe goed kan iets wiskunde maken...
[1569.82 --> 1573.24]  Logisch nadenken, geschiedenisvragen beantwoorden en testen maken, zeg maar.
[1573.62 --> 1576.02]  Om jurist te worden en andere examens...
[1576.02 --> 1578.72]  Gaat die GPT-5 waarschijnlijk weer hogere scores halen.
[1578.98 --> 1580.40]  Dat is wat in mijn hoofd zat.
[1580.50 --> 1581.76]  Maar wat nu eigenlijk gebeurt...
[1582.40 --> 1583.76]  Is dat het fundamenteel...
[1585.08 --> 1588.22]  Er niet op andere data getraind is, als ik begrepen heb.
[1588.22 --> 1593.18]  En dat het in essentie een verbreding is van het GPT-4 model...
[1593.18 --> 1596.26]  Om een omnimodel te maken, multimodaal.
[1596.76 --> 1599.40]  Maar het is niet zeg maar een verhoging.
[1599.78 --> 1601.92]  Ik heb de test toevallig net allemaal door te lezen.
[1602.62 --> 1605.28]  Hij zei het is ietsje slimmer geworden op een pad puntjes...
[1605.28 --> 1607.06]  Maar ook wat dommer, want daardoor is hij zo snel.
[1607.74 --> 1610.30]  Het is eigenlijk een veel betere GPT-4 geworden.
[1610.48 --> 1612.52]  Daarom is de branding voor mij ook gewoon een spot on.
[1612.52 --> 1614.52]  Maar ik dacht...
[1615.56 --> 1620.32]  Er zal wel heel veel geld en tijd gaan in een soort revolutionaire GPT-5.
[1620.78 --> 1622.52]  Maar een verbreding, versnelling...
[1623.72 --> 1626.48]  Dus verbreding in hoe je kan communiceren...
[1626.48 --> 1629.94]  En versnelling in latency en wat er dan uiteindelijk uitkomt...
[1629.94 --> 1634.38]  Is eigenlijk voor de kwaliteit van de ervaring veel belangrijker.
[1634.60 --> 1636.22]  Wat wij al een beetje hebben aangeraakt.
[1636.50 --> 1638.16]  Maar zij zijn er nu gewoon vol op gegaan.
[1638.16 --> 1640.30]  Als we die latency naar beneden brengen...
[1640.30 --> 1642.98]  Dan is dat voor mensen een enorme waarde voor iets.
[1643.14 --> 1647.66]  Maar daar merk je dat OpenAI echt een productgeoriënteerd bedrijf is.
[1647.80 --> 1647.96]  Ja, zeker.
[1647.96 --> 1650.16]  Dat het niet alleen maar de technische...
[1651.06 --> 1653.16]  Ja, het soort van technisch steeds...
[1653.16 --> 1654.52]  Ja, gigahertz en megapixels noemen ze maar op.
[1654.52 --> 1654.90]  Precies.
[1655.26 --> 1656.50]  Gigahertz en megapixels.
[1656.62 --> 1659.08]  Er was een tijd dat computers afgemeten werden aan...
[1659.08 --> 1660.40]  Hoeveel gigahertz heeft jouw computer?
[1660.50 --> 1661.92]  En Apple heeft dat op zijn kop gegooid...
[1661.92 --> 1664.52]  Door het juist veel meer te hebben over hoe het eruit ziet.
[1664.52 --> 1665.54]  En wat het kan.
[1665.96 --> 1668.96]  Voor minselijke soort van specificaties.
[1669.74 --> 1672.62]  En het is alsof OpenAI gewoon dat heel goed begrijpt.
[1672.70 --> 1676.66]  Heel goed begrijpt wat toepassingen zijn...
[1677.28 --> 1678.72]  Die tot de verbeelding spreken...
[1678.72 --> 1681.58]  Maar wel aan de randen zitten van de technische vooruitgang.
[1681.70 --> 1683.66]  Dus wel steeds vooruitstrevend zijn...
[1683.66 --> 1684.66]  Maar niet voor...
[1685.48 --> 1687.62]  Dat is geen doel op zich.
[1687.74 --> 1689.24]  Technisch vooruitstrevend zijn.
[1689.32 --> 1690.60]  Dat merk je aan deze update.
[1691.08 --> 1693.72]  Dat is de kracht van Sam Altman, denk ik.
[1693.72 --> 1696.44]  Als product en marketing guy...
[1696.44 --> 1698.62]  Die begrijpt gewoon dat er meer nodig is...
[1698.62 --> 1700.06]  Dan alleen maar meer gigahertz.
[1700.86 --> 1703.62]  Ik denk dat het voelt voor mij een beetje alsof Google het podium opkomt...
[1703.62 --> 1706.14]  En zegt, we hebben een context window van 100k...
[1706.14 --> 1709.24]  Getraind op 400 parametermodel.
[1710.32 --> 1713.82]  En het draait op de neural engine van onze nieuwe Tensor Core.
[1714.24 --> 1716.98]  En dat dan OpenAI opkomt en zegt...
[1716.98 --> 1718.08]  Hé, moet je horen, lachen man.
[1718.14 --> 1718.96]  Dit ding maakt grappen.
[1719.36 --> 1719.70]  Precies.
[1719.82 --> 1720.80]  Je kan hier gewoon mee lachen.
[1721.02 --> 1721.96]  Ja, je kan hier meer lachen.
[1721.96 --> 1723.42]  Het is totaal voorbij, al die shit gewoon.
[1724.28 --> 1725.46]  En dat snappen ze goed, ja.
[1726.40 --> 1726.58]  Ja.
[1727.94 --> 1729.22]  Doet me ook heel erg...
[1729.22 --> 1732.78]  Ik ben heel erg nieuwsgierig wat er in juni vanuit Apple gaat komen op de WWDC.
[1733.46 --> 1736.08]  Daar gaan we tegen die tijd wel over hebben wanneer dat dan geland is.
[1736.54 --> 1741.08]  Want zij zitten natuurlijk van oudsher enorm op die gebruikerservaring.
[1741.26 --> 1744.36]  En hoe kan je echt daadwerkelijk wat toevoegen aan iemands leven met technologie.
[1745.36 --> 1745.68]  OpenAI.
[1745.68 --> 1747.94]  Ja, dit is...
[1747.94 --> 1750.38]  Ik las iemand die zei...
[1750.38 --> 1752.84]  Ik ging met OpenAI praten, daarna met Siri.
[1753.06 --> 1754.30]  En ik werd er gewoon stil van.
[1755.06 --> 1756.06]  En dat is...
[1756.06 --> 1758.30]  Ik bedoel, Siri is gewoon het vorige paradigma.
[1759.06 --> 1761.86]  Nou ja, ik kan het geen AI meer noemen met wat AI nu betekent.
[1762.06 --> 1763.30]  Het is een telefonisch menu.
[1763.70 --> 1766.24]  Dus er druk op één om een medewerker aan de lijn te krijgen.
[1766.36 --> 1767.02]  Druk op twee.
[1767.26 --> 1768.08]  Dat is Siri.
[1768.08 --> 1770.66]  Siri voelt als een Nokia 3310.
[1770.78 --> 1771.48]  Ik kan het niet anders zeggen.
[1771.64 --> 1772.38]  Het is pijnlijk maar.
[1772.94 --> 1781.62]  Maar toch, want er gaan al heel lang geruchten over dat Apple een samenwerking met Google zou sluiten over AI.
[1781.78 --> 1784.08]  Datzelfde gerucht ging over Apple en OpenAI.
[1785.00 --> 1790.06]  De meest recente was dat er een deal gesloten zou zijn vlak voor de WWDC.
[1790.06 --> 1797.48]  Om OpenAI geïntegreerd te krijgen in iOS 18.
[1798.50 --> 1800.86]  Is er nog iets veranderd aan jouw verwachting?
[1802.10 --> 1809.24]  Ja, omdat nu die M4 chip in de iPad Pro terechtgekomen is, ben ik als een echte techneurd.
[1809.48 --> 1810.74]  We hebben het net belachelijk gemaakt.
[1811.16 --> 1811.72]  Of in ieder geval ik.
[1811.84 --> 1815.48]  Ik zou naar Google luisteren met die tokenwindow in het publiek bedoel ik eigenlijk van net.
[1816.00 --> 1816.96]  En naar die grapjes.
[1816.96 --> 1820.20]  Maar die aankondiging was er van die iPad Pro.
[1821.48 --> 1823.20]  Toen zag ik M4.
[1823.40 --> 1826.40]  En toen ben ik als een gek gaan scrollen op die website naar de allerkleinste tekst.
[1826.48 --> 1827.54]  Hoeveel geheugen heeft dat ding?
[1827.98 --> 1829.56]  En met geheugen bedoel ik intern geheugen.
[1829.66 --> 1831.36]  Want daar moet het model ingeladen kunnen worden.
[1831.84 --> 1834.98]  Om lokaal op het apparaat een model te kunnen draaien.
[1835.76 --> 1839.00]  Is de grootste bottleneck tot nu toe het intern geheugen.
[1839.08 --> 1841.36]  Want je moet heel snel naar het geheugen toe kunnen.
[1841.48 --> 1843.32]  Dus dat kan niet het opslaggeheugen zijn.
[1843.32 --> 1848.34]  En Apple is famously spartaans met hoeveel geheugen ze meeleveren.
[1849.24 --> 1851.10]  Dus die hebben een beetje nu een probleem.
[1851.18 --> 1852.60]  Daar hebben we het eerder over gehad dat ik zei.
[1852.92 --> 1855.18]  Apple zit met apparaten die nu allemaal nog verkocht worden.
[1855.48 --> 1858.98]  Die eigenlijk niet helemaal aansluiten op wat AI vraagt.
[1858.98 --> 1859.52]  Qua hardware.
[1860.68 --> 1863.66]  Nou nu heeft Apple dat opgelost om zelf kleinere modellen te gaan trainen.
[1863.66 --> 1865.84]  Die wel in hun kleinere geheugen passen.
[1866.24 --> 1870.18]  Maar ik zag dus bij die iPad Pro niet ineens een radicale toename van geheugen.
[1870.28 --> 1870.94]  Dat was even het punt.
[1871.24 --> 1872.02]  Ik scrollde naar beneden.
[1872.12 --> 1873.74]  Voor mij was het 12 gigabyte.
[1873.92 --> 1877.60]  Ik weet zelf ook helemaal niet hoeveel gigabyte geheugen er in mijn iPhone zit.
[1877.92 --> 1879.66]  Qua werkgeheugen heb ik het dan dus over.
[1880.06 --> 1881.16]  Want dat boeit eigenlijk ook niet.
[1881.22 --> 1882.62]  Maar nu boeit het ineens weer eventjes.
[1883.36 --> 1886.52]  Nou en Apple lijkt nu te zeggen met die M4.
[1887.04 --> 1889.60]  We willen er best wel 20% extra geheugen bij doen.
[1890.16 --> 1891.46]  Maar we gaan niet verviervoudigen.
[1891.46 --> 1896.02]  Wat ik zou verwachten als Apple full-on lokaal taalmodel zou gaan draaien.
[1896.10 --> 1899.80]  Moeten we echt naar de 32 of 64 gig op een smartphone aan werkgeheugen.
[1900.26 --> 1903.10]  Dat zou een enorme indicator zijn geweest wat hun plannen zijn.
[1903.40 --> 1905.60]  Nou dat is niet gebeurd bij die iPad Pro M4.
[1905.94 --> 1908.40]  Dus dat zie ik dan ook niet gaan gebeuren bij een iPhone 16.
[1909.30 --> 1910.26]  Noem ze maar op.
[1911.04 --> 1914.64]  Dus waar het op lijkt is dat Apple kleinere modellen maakt.
[1914.80 --> 1916.70]  Die goed kunnen draaien op hun apparaten.
[1917.32 --> 1919.94]  Lokaal en een hybride vorm gevonden heeft.
[1919.94 --> 1923.20]  Waarbij het model op de achtergrond Big Brother aan kan roepen.
[1923.32 --> 1928.62]  In dit geval bedoel ik daarmee OpenAI, Gemini en ik verwacht ook Apple zelf.
[1929.22 --> 1931.26]  Ik was laatst een artikel aan het lezen.
[1931.36 --> 1936.78]  Het ging over dat zij de hardware die ze maken voor die smartphones, Apple TVs en MacBooks.
[1936.78 --> 1940.04]  Ook in het datacenter aan het integreren zijn.
[1940.16 --> 1944.76]  Dus dat houdt in dat het kleine model, de kleine versie van het model draait op je apparaat.
[1944.84 --> 1949.54]  En wanneer het kleine model er niet uitkomt, heeft hij de optie om even een vraag naar achter te doen.
[1949.64 --> 1954.04]  Een backorder te plaatsen als het ware naar het grote moedermodel in het datacenter.
[1954.82 --> 1959.64]  En ik hoop dan, maar dat is een persoonlijke hoop, dat we de optie hebben om dat uit te zetten.
[1959.64 --> 1964.66]  Dat je kan zeggen, nou weet je wat, ik neem genoegen met mijn taalmodel op mijn iPhone.
[1965.08 --> 1967.30]  En noem het iCloud Siri.
[1967.62 --> 1970.12]  Ik ga ervan uit dat de hele brand van Siri gedropt gaat worden trouwens.
[1970.22 --> 1970.84]  Maar dat zien we dan wel.
[1970.92 --> 1973.44]  Het lijkt me voor hun wel handig om even een soort nieuwe versie.
[1974.02 --> 1976.12]  Misschien moeten ze een soort van mooie ceremonie gaan doen ofzo.
[1976.16 --> 1979.08]  Ik zie het helemaal vormen hoe Apple dit gaat aanpakken met een dure reclamecampagne.
[1979.68 --> 1981.80]  Siri of de herrezen Siri in een nieuw ding.
[1982.68 --> 1984.16]  Al met al, lang verhaal kort.
[1984.16 --> 1991.34]  Het lijkt erop, ook gezien de roddeltjes rondom de deals die er gesloten worden, dat Apple gaat leunen op de bestaande giganten.
[1991.58 --> 1992.94]  In dit geval Google en OpenAI.
[1993.90 --> 1999.32]  Zeker weten ook een alternatief voor zichzelf aan het bouwen is, die deels in het datacenter draait en deels op de telefoon.
[1999.40 --> 2000.80]  Maar ze zijn nog niet klaar.
[2001.32 --> 2002.98]  Anders hadden ze die deals niet gaan maken.
[2004.02 --> 2009.60]  Anders staan ze gewoon een beetje voor gek met hun GPT-3 kwaliteit Apple getrainde dingen in het datacenter.
[2009.78 --> 2010.78]  Dat gaat hem gewoon niet worden.
[2010.78 --> 2018.04]  Nou, vanavond is er ook een keynote van Google, die ook al geteased hebben dat er allerlei AI-meuk uit gaat komen.
[2018.20 --> 2021.98]  Waaronder de visuele capaciteiten van het taalmodel van Google.
[2022.46 --> 2024.12]  Dus daar zullen we vanavond ook allemaal wat meer over horen.
[2024.24 --> 2028.04]  Misschien dat we meer gaan zien van de integratie in Android.
