Video title: Google en OpenAI kondigen nieuwe modellen aan — dit is de belangrijkste AI week van het jaar ｜ ✨ ...
Youtube video code: uSpTxPuIAXQ
Last modified time: 2024-12-12 20:12:50

------------------ 

[0.00 --> 1.16]  18 plus speelbewust.
[941.00 --> 942.40]  Dit is een heel klein dingetje.
[942.44 --> 943.06]  Waar we nu inzoomen.
[943.20 --> 943.34]  Maar.
[944.04 --> 944.86]  Specifieke delen.
[944.86 --> 945.86]  Uitwerkt.
[945.94 --> 946.60]  En daar is onder andere.
[946.74 --> 948.38]  Dit soort van text to speech ding.
[948.50 --> 950.52]  Waar ze die notebook LM achtige stemmen.
[951.52 --> 951.88]  Gebruiken.
[952.20 --> 953.02]  In een video.
[953.26 --> 953.66]  Waar ze.
[954.02 --> 954.76]  Dat is een hele meta.
[955.00 --> 955.48]  Een video.
[955.64 --> 957.14]  Waarin ze dit ding uitleggen.
[957.22 --> 957.58]  En dat is gewoon.
[957.74 --> 958.36]  Heel echt.
[958.48 --> 959.60]  Dat zijn gewoon voice over stemmen.
[959.74 --> 961.16]  Die je op tv zou kunnen gebruiken.
[961.42 --> 961.54]  Ja.
[961.92 --> 962.40]  En daar.
[962.48 --> 963.06]  Daar zijn we nu.
[963.14 --> 963.44]  Oké.
[963.44 --> 964.92]  Dat is allemaal onderdeel.
[965.04 --> 967.20]  Van een groot nieuw model.
[967.42 --> 968.28]  Wat ze lanceren.
[968.34 --> 968.66]  Dat heet.
[968.80 --> 969.90]  Gemini 2.
[970.98 --> 971.92]  En het model.
[972.04 --> 972.94]  Wat ze dan concreet.
[973.06 --> 973.22]  Dat is.
[973.30 --> 974.48]  Dat wordt de paraplu.
[974.90 --> 977.22]  Daar komen verschillende submodellen onder te hangen.
[977.30 --> 977.60]  En het model.
[977.66 --> 978.42]  Wat ze nu lanceren.
[978.60 --> 978.72]  Heet.
[978.84 --> 980.30]  Gemini 2.0 Flash.
[980.54 --> 980.94]  Dat is.
[981.50 --> 982.56]  Flash is het model.
[982.68 --> 983.74]  Waarbij Google altijd heeft gezegd.
[983.78 --> 985.36]  Dat is ons kleinste model.
[985.70 --> 985.82]  Ja.
[987.14 --> 987.54]  Oftewel.
[987.86 --> 989.50]  Dit is het goedkoopste model.
[989.62 --> 990.22]  Om te draaien.
[990.36 --> 991.74]  Van deze 2.0 reeks.
[991.74 --> 993.60]  Waarvan dit nu de enige is.
[993.66 --> 994.00]  Die uitkomt.
[994.10 --> 994.80]  Maar dat impliceert.
[994.90 --> 996.98]  Dat er dus andere modellen ook zijn.
[997.14 --> 998.30]  Die niet geoptimaliseerd zijn.
[998.44 --> 999.06]  Voor klein.
[999.48 --> 999.72]  Snel.
[1000.00 --> 1000.44]  Goedkoop.
[1000.60 --> 1000.68]  Ja.
[1000.72 --> 1001.62]  Die snel is ook belangrijk.
[1001.78 --> 1002.72]  Want Flash is natuurlijk.
[1003.20 --> 1004.50]  Het is en een enorme flex.
[1004.58 --> 1005.06]  Vanuit Google.
[1005.16 --> 1006.22]  Dat ze hun Flash model.
[1006.38 --> 1007.06]  Als eerst uitbrengen.
[1007.12 --> 1008.08]  Die al zo krachtig is.
[1008.20 --> 1008.92]  Dat wij allemaal denken.
[1009.02 --> 1009.30]  Wauw.
[1009.56 --> 1011.10]  Maar je hebt ook een heel klein modelletje nodig.
[1011.10 --> 1012.34]  Voor die hele lage latency.
[1012.82 --> 1012.94]  Ja.
[1013.06 --> 1013.74]  Voor dat kletsen.
[1014.00 --> 1014.12]  Ja.
[1014.28 --> 1015.74]  Dat moet je met een turboachtig ding doen.
[1015.76 --> 1017.86]  Maar ondertussen is het dus een monster model.
[1018.12 --> 1018.92]  Want het Flash model.
[1018.92 --> 1020.88]  Wat we associëren.
[1020.88 --> 1021.96]  Met dus een kleiner model.
[1022.12 --> 1024.18]  Wat geoptimaliseerd is.
[1024.36 --> 1025.20]  Voor snelheid.
[1025.32 --> 1026.24]  En voor goedkoop.
[1026.44 --> 1028.44]  En waarbij de meeste mensen de neiging zou hebben.
[1028.54 --> 1029.00]  Nou oké.
[1029.04 --> 1030.60]  Dat ga ik niet voor de meeste taken gebruiken.
[1031.26 --> 1032.14]  Lijkt het dus.
[1032.46 --> 1034.00]  Dicht buiten scoren op benchmarks.
[1035.12 --> 1036.52]  Bij bijvoorbeeld.
[1036.94 --> 1038.12]  Cloud 3,5 Sonnet.
[1038.92 --> 1040.32]  Dat het dichtbij komt.
[1040.38 --> 1042.20]  En dat het soms beter zelfs werkt.
[1042.32 --> 1044.84]  Dan het midden model van Anthropic.
[1045.08 --> 1045.60]  Op dit moment.
[1045.74 --> 1045.98]  Zeker.
[1046.68 --> 1047.56]  Dat is opvallend.
[1047.56 --> 1049.74]  Want daarnaast is dit veel goedkoper.
[1049.74 --> 1051.62]  Je vertelt het even casual.
[1051.86 --> 1052.30]  Maar eigenlijk.
[1052.60 --> 1053.24]  Ik zit denk ik ook.
[1053.24 --> 1053.62]  Het is huge.
[1053.82 --> 1053.98]  Ja.
[1054.04 --> 1056.46]  En ik zit denk ik misschien een beetje te wachten op Orion van OpenAI.
[1056.70 --> 1057.02]  Waardoor.
[1057.26 --> 1058.96]  Als Google dan ineens Gemini 2 dropt.
[1059.04 --> 1060.72]  Waarvan hun allerkleinste model in de buurt komt.
[1060.80 --> 1061.96]  Van Cloud 3,5 Sonnet.
[1062.02 --> 1063.84]  Die al ongeveer 30 procent beter voelt.
[1064.04 --> 1064.78]  Als GPT-4.
[1064.98 --> 1065.96]  Dan hebben we ineens.
[1066.80 --> 1067.98]  En dat is denk ik ook wat ik bedoel.
[1068.04 --> 1069.14]  Met die hardloopwedstrijd.
[1069.60 --> 1072.48]  Dit is wel echt een enorme positieve.
[1072.48 --> 1077.32]  Als je het prettig vindt dat de markt een beetje verdeeld is over verschillende spelers.
[1077.40 --> 1078.92]  Die redelijk met elkaar kunnen boksen.
[1079.64 --> 1081.62]  Dan Google is helemaal in the game nu.
[1081.94 --> 1082.42]  Maar goed.
[1082.46 --> 1084.48]  We hebben het nu alweer waar ik onder de indruk van ben.
[1084.60 --> 1086.56]  Waar ben jij van onder de indruk in dit Gemini launch?
[1086.74 --> 1086.90]  Nou.
[1087.00 --> 1088.70]  Eén ding wat je kan proberen.
[1088.82 --> 1090.22]  Want dat is natuurlijk waar het echt leuk wordt.
[1090.30 --> 1091.36]  Als je het zelf kan proberen.
[1091.44 --> 1093.40]  Want het is één ding om naar YouTube video's te kijken van dingen.
[1093.40 --> 1096.78]  Maar het is ook wel echt leuk dat Google daadwerkelijk dingen heeft gereleased.
[1096.86 --> 1097.52]  Die je kan proberen.
[1097.52 --> 1101.56]  Je kan dus naar AI studio.google.com gaan.
[1101.68 --> 1109.68]  En dat is de plek waar je de nieuwe features uit dit Gemini 2 Flash model kan proberen.
[1109.82 --> 1111.86]  En dat zijn allemaal heel beeldende dingen die je kan doen.
[1111.98 --> 1116.82]  Dus bijvoorbeeld je kan je scherm delen met Gemini.
[1117.24 --> 1121.42]  En dan kun je dus dat ding spreken met je stem.
[1121.96 --> 1124.86]  Terwijl dat ding ook toegang heeft tot je scherm.
[1124.86 --> 1127.92]  Dus je kan vragen stellen over hetgeen je op dat moment ziet.
[1128.38 --> 1129.00]  Dus ik zal dat doen.
[1129.08 --> 1131.80]  Ik ga nu één venster delen.
[1131.92 --> 1132.92]  Namelijk dat van mijn browser.
[1133.08 --> 1134.64]  Can you see this, dear Gemini?
[1136.52 --> 1138.56]  Yes, I can see the browser window you are sharing.
[1138.76 --> 1141.20]  It appears to be the Google AI studio page.
[1141.22 --> 1143.88]  Ja, well that you are very right.
[1143.98 --> 1145.60]  Oké, I now go to nude.nl.
[1145.68 --> 1147.54]  This is a very big news site in Nederland.
[1148.40 --> 1151.42]  What do you think is going on today in the news?
[1151.42 --> 1156.92]  Oké, I can see the NU, NL website you've shared.
[1157.48 --> 1159.40]  It appears to be a Dutch news site.
[1159.70 --> 1160.90]  And I can see a few headlines.
[1161.56 --> 1166.22]  One headline mentions a fourth suspect being arrested in connection with an explosion.
[1166.80 --> 1170.28]  There are also articles about measures to reduce working hours.
[1170.34 --> 1174.08]  Oké, what's the most fun story that is on this page?
[1174.08 --> 1177.86]  Sure, the headline.
[1178.30 --> 1181.18]  Miss Nederland verkiezing stopt na 35 jaar.
[1181.60 --> 1183.22]  Niet meer van deze tijd.
[1183.64 --> 1187.92]  Which translates to Miss Nederland's pageant stops after 35 years.
[1188.24 --> 1189.38]  No longer of this time.
[1189.80 --> 1191.36]  Seems like it could be an interesting story.
[1191.72 --> 1192.30]  Ja, oké.
[1192.34 --> 1193.46]  Nou, dat moet je zelf weten.
[1193.90 --> 1199.44]  Maar dit is dus het idee dat je naar een website kan kijken en dan met dat ding erover kan praten.
[1199.64 --> 1200.82]  Nou, dit is een beetje een dom voorbeeld.
[1200.82 --> 1207.82]  Maar ik heb bijvoorbeeld ook news.cn, dat is de website van het staatspersbureau in China.
[1208.54 --> 1212.04]  Can you describe what's on this page right now?
[1214.04 --> 1216.42]  I see a Chinese news website, news.
[1217.10 --> 1217.86]  CNN.
[1218.74 --> 1220.86]  The page has a header with links and icons.
[1221.26 --> 1224.36]  Then below there is a large image of Xi Jinping, the Chinese president.
[1224.70 --> 1224.82]  Typical.
[1224.82 --> 1226.82]  The page also features several head...
[1227.42 --> 1230.02]  Sorry, there was some commentary, some political commentary.
[1230.02 --> 1232.18]  In ieder geval, dat is natuurlijk wel grappig.
[1232.30 --> 1235.14]  Ik zit nu naar een pagina te kijken waar ik werkelijk geen wijsheid kan worden.
[1235.24 --> 1236.74]  Behalve een hele grote van Xi Jinping.
[1237.24 --> 1238.96]  Bovenal de nieuws site.
[1239.42 --> 1242.44]  Maar verder is het alleen maar karakters die ik niet kan lezen.
[1242.90 --> 1245.22]  En het feit dat dat ding kan, dat wel.
[1245.32 --> 1246.02]  Dus dat is grappig.
[1247.18 --> 1250.26]  Can you maybe teach me some Chinese based on what this says?
[1250.40 --> 1253.66]  Can you pronounce the top headline and say it in Chinese?
[1253.66 --> 1254.66]  Yes.
[1256.66 --> 1258.66]  The top headline reads...
[1259.38 --> 1264.66]  The pronunciation is...
[1264.66 --> 1270.98]  Xi Jinping huijian eluosi tongyi eluosi dangzooksi mei de vejjefu.
[1273.58 --> 1274.04]  Oké.
[1274.04 --> 1275.10]  En wat betekent dat?
[1278.28 --> 1279.66]  It translates to...
[1279.66 --> 1282.42]  Xi Jinping meets with the chairman of the United Russia party.
[1282.42 --> 1283.18]  Met vet-ev.
[1283.44 --> 1283.62]  Ja.
[1283.84 --> 1284.40]  Ja, oké.
[1284.48 --> 1286.54]  Zo zie je dus dat je ook Engels en Nederlands door elkaar kan praten.
[1286.54 --> 1287.18]  Ja, ik wou net zeggen.
[1287.18 --> 1287.66]  Dat is wel chill.
[1287.90 --> 1290.58]  Een bizarre flex met alle talen door elkaar op dit moment.
[1291.06 --> 1291.40]  Oké.
[1291.44 --> 1294.40]  Nou, een ander ding is dat ik de YouTube homepage kan laten zien.
[1294.62 --> 1299.62]  Die heeft natuurlijk allerlei video's die die aanbeveelt op basis van mijn kijkgedrag.
[1299.62 --> 1303.62]  Dus mijn vraag aan jou is, wat zou je zeggen dat...
[1304.28 --> 1306.52]  Zeg maar, wat zou je zeggen over mijn persoonlijkheid?
[1306.60 --> 1310.96]  Hoe kan je mijn karakter schetsen op basis van de video die YouTube voor mij heeft uitgekozen?
[1311.06 --> 1312.52]  Die nu voor mij staan op het scherm.
[1312.62 --> 1313.46]  Wat voor mens ben ik?
[1313.46 --> 1316.46]  Oké.
[1316.46 --> 1316.54]  Oké.
[1316.54 --> 1323.28]  Based on the videos on your YouTube homepage, it seems you might be interested in technology, AI, news, and interviews.
[1323.86 --> 1327.38]  The videos are diverse, but they all seem to fall into those main categories.
[1328.82 --> 1329.06]  Oké.
[1329.12 --> 1330.22]  Welke moet ik kijken als eerste?
[1333.10 --> 1340.20]  Of those videos, my local AI voice assistant, I replaced Alexa, seems like an interesting one to start with.
[1342.20 --> 1342.64]  Oké.
[1342.88 --> 1343.36]  Bedankt.
[1343.46 --> 1348.14]  Ik kan me echt oprecht goed voorstellen.
[1348.26 --> 1348.92]  Je ziet het ook een beetje.
[1349.06 --> 1352.44]  Er zit namelijk in Gemini nu ook, Gemini Gaming.
[1352.72 --> 1353.20]  Waarom niet?
[1353.28 --> 1354.66]  Hebben we het nog niet eens over gehad, dit lijstje.
[1354.74 --> 1357.16]  Maar ook geoptimaliseerd voor computer games.
[1357.66 --> 1361.26]  Waarbij je een buddy kan hebben die meekijkt op jouw scherm op dezezelfde manier.
[1361.36 --> 1363.26]  Maar niet naar een webbrowser, maar naar een computer game.
[1363.72 --> 1365.94]  En dat jij dan zegt, ik zit nu in deze strategie game.
[1366.02 --> 1367.36]  Wat is mijn beste volgende move?
[1367.60 --> 1372.04]  Dan heb ik het niet over volgende move schaken, maar best wel een complexe spelsituatie.
[1372.04 --> 1374.22]  Het is ook een vorm van cheater zou je kunnen zeggen.
[1374.54 --> 1376.72]  Maar het kan ook een vorm van leren zijn.
[1376.92 --> 1381.20]  Want wat ik iemand zag doen, die ging code samen met Gemini die meekeek.
[1381.20 --> 1383.60]  En toen zei hij, oké, wat zie je nu?
[1383.68 --> 1384.50]  Ik zie een code editor.
[1385.12 --> 1387.92]  Oké, stel dat ik nu hallo naar mezelf zou willen zeggen.
[1388.00 --> 1388.66]  Hoe doe ik dat dan?
[1388.72 --> 1391.32]  En dan ging hij dus in voice zeggen, oké, dan moet je typen.
[1391.54 --> 1391.86]  Print.
[1392.08 --> 1393.52]  En daar ging hij helemaal mee typen.
[1393.62 --> 1394.74]  En ik dacht, zo frustreerend.
[1394.82 --> 1396.16]  Maar ik dacht, zo leer je het wel.
[1396.56 --> 1398.46]  En toen vroeg hij, heb ik het goed neergezet?
[1398.70 --> 1399.64]  Ja, je hebt het goed getypt.
[1399.80 --> 1400.40]  Voer het maar naar huis.
[1400.74 --> 1403.06]  Toen dacht ik, dit is veel meer die buddy.
[1403.40 --> 1405.18]  In plaats van dat plakken uit je klembord.
[1405.30 --> 1405.50]  Precies.
[1405.66 --> 1406.92]  Er wordt niet voor je getypt.
[1407.08 --> 1408.64]  Er wordt je uitgelegd.
[1408.64 --> 1410.54]  Maar je moet zelf de fitness oefening doen.
[1410.66 --> 1411.88]  Zodat je zelf spiermassa creëert.
[1412.18 --> 1415.24]  Ja, en dit is het voorportaal van wat ze noemen Project Astra.
[1415.48 --> 1419.28]  Dat is dus die persoonlijke assistent die meerdere talen door elkaar heen spreekt.
[1419.46 --> 1420.42]  Zoals je net hoorde.
[1421.02 --> 1424.26]  En die ook begrijpt wat dat ding ziet.
[1424.46 --> 1428.50]  Nu delen wij ons scherm met Gemini.
[1429.06 --> 1433.00]  En kan je dus op basis van video in plaats van screenshots, wat we van Chattieptie gewend zijn.
[1433.00 --> 1437.84]  Kun je op basis van live streaming video vanaf je scherm je helpen.
[1437.84 --> 1438.78]  Wat je aan het doen bent.
[1439.96 --> 1445.68]  Maar datzelfde, je kan natuurlijk in plaats van schermbeelden, kun je ook gewoon videobeelden naar het ding sturen.
[1445.78 --> 1446.74]  Dus je kan ook je webcam.
[1446.92 --> 1450.06]  Als jij dingen wil laten zien voor het scherm.
[1450.60 --> 1452.76]  Bijvoorbeeld een rekensom die je op een papiertje hebt geschreven.
[1453.44 --> 1454.74]  Kan je dat live fixen.
[1455.00 --> 1457.02]  Dat doet OpenAI niet live.
[1457.14 --> 1459.52]  Dat is bij OpenAI nog een soort van demo territory.
[1459.76 --> 1460.90]  En bij Google is het nu live.
[1460.90 --> 1463.14]  Dat is een simpel voorbeeld.
[1463.52 --> 1469.52]  Maar waar ze het dus ook voor gebruiken is dat je live camerabeeld van je telefoon kan streamen naar dat ding.
[1469.68 --> 1471.66]  Dat is technisch natuurlijk precies hetzelfde.
[1472.10 --> 1473.64]  En kun je vragen over je omgeving.
[1473.80 --> 1478.40]  En dan zit het vol met allerlei voorbeelden van zogenaamde trusted testers.
[1478.62 --> 1479.80]  Zoals Google dat tegenwoordig noemt.
[1479.88 --> 1482.70]  Een soort van beta testers die ook influencers zijn volgens mij.
[1482.70 --> 1485.86]  Die dan bijvoorbeeld door een keuken lopen.
[1486.02 --> 1490.52]  En dan een reeks met ingrediënten in hun kastje hebben staan.
[1490.70 --> 1493.30]  En waarbij je dan de vraag kan stellen wat kan ik hiervan maken.
[1493.50 --> 1497.06]  Nou dat is een nog wel simpel voorbeeld.
[1497.84 --> 1501.16]  Wat een soort cliché matig voorbeeld van AI.
[1501.78 --> 1502.58]  Laten zien wat het kan.
[1502.90 --> 1503.60]  Maar oké.
[1503.68 --> 1504.28]  In video.
[1504.48 --> 1504.98]  Best wel vet.
[1505.66 --> 1507.24]  Maar dat gaat verder en verder.
[1507.24 --> 1512.74]  Want dan is het echt de beperkingen van je creativiteit zijn de grenzen aan wat je met dat ding kan doen.
[1512.98 --> 1514.28]  Want echt heel veel kan.
[1514.36 --> 1514.98]  Dus bijvoorbeeld.
[1515.56 --> 1518.80]  Je kan een videootje maken waarin je een boek voor je hebt.
[1518.92 --> 1520.66]  En waarbij je heel snel door het boek bladert.
[1521.50 --> 1522.92]  En dan heeft hij iedere pagina.
[1523.02 --> 1526.28]  Heeft hij maar natuurlijk een fractie van een seconde nodig om de pagina gelezen te hebben.
[1526.80 --> 1527.50]  En dan kun je zeggen.
[1528.42 --> 1533.44]  Nou dit laatste paar pagina's voordat ik dit boek neerlegde een jaar geleden.
[1533.98 --> 1536.92]  Praat me even bij over wat er ook weer gebeurd is.
[1536.92 --> 1538.50]  Ik weet dat ik hier gebleven ben.
[1538.62 --> 1541.40]  Maar wat staat er op deze twintig pagina's hiervoor.
[1541.50 --> 1542.92]  En dan gaat dat ding dus praten.
[1543.04 --> 1544.80]  Zonder dat je een videootje hebt hoeven maken.
[1544.96 --> 1547.50]  Dus gewoon live streamen naar een spraakassistent.
[1548.00 --> 1550.78]  Die een audio naar je toe spreekt.
[1551.30 --> 1552.48]  Andere features waren.
[1553.06 --> 1554.64]  Die ik in video's voorbij zag komen.
[1554.90 --> 1560.18]  Was bijvoorbeeld iemand die met zijn telefoon over straat loopt.
[1560.50 --> 1562.72]  Random naar dingen aan het wijzen is.
[1562.72 --> 1564.16]  En dan vraagt wat is dit voor plant.
[1564.26 --> 1565.40]  Wat is dit voor gebouw.
[1565.76 --> 1566.84]  Wat is dit voor deelfiets.
[1566.84 --> 1567.60]  Die hier staat.
[1567.90 --> 1568.88]  En dan kan hij dus vragen.
[1569.10 --> 1571.20]  Wat zijn eigenlijk de voorwaarden van deze deelfiets.
[1571.26 --> 1572.82]  En zegt nou het kost x euro per maand.
[1573.00 --> 1574.38]  En je kunt het hier en hier gebruiken.
[1574.64 --> 1576.28]  Of hij wijst naar een bus.
[1576.60 --> 1577.40]  Met zijn camera.
[1577.62 --> 1578.80]  Die langs rijdt.
[1578.82 --> 1580.70]  En vraagt waar gaat deze bus heen.
[1581.04 --> 1584.02]  En dat ding constateert wat er voor op de bus staat.
[1584.16 --> 1584.98]  En het lijnnummer.
[1585.18 --> 1587.88]  Zoekt dan op welke buslijn dat is.
[1588.26 --> 1589.00]  En vraagt dan.
[1589.42 --> 1591.14]  Die persoon.
[1591.14 --> 1591.58]  Die mens.
[1591.58 --> 1593.34]  Die vraagt dan aan die AI.
[1593.78 --> 1595.46]  Wat zijn leuke dingen om.
[1596.12 --> 1598.22]  Als toeristische dingen om te zien.
[1598.22 --> 1599.94]  Als je deze bus neemt.
[1600.32 --> 1600.88]  En dan komt hij dus.
[1600.92 --> 1602.44]  Dan heeft hij dus op Google Maps opgezocht.
[1602.52 --> 1603.58]  Hoe die buslijn gaat.
[1603.78 --> 1605.90]  Welke dingen allemaal langs de kant van de weg staan.
[1606.00 --> 1606.78]  En gaat hij dus vertellen.
[1606.86 --> 1608.68]  Wat je allemaal op die bus kan zien.
[1608.68 --> 1609.22]  Oftewel.
[1609.80 --> 1610.84]  Hij kan niet alleen.
[1611.62 --> 1613.10]  Analyseren wat op het beeld te zien is.
[1613.18 --> 1615.26]  Hij kan ook nog dingen gaan opzoeken.
[1615.54 --> 1616.58]  En dan ook nog.
[1616.80 --> 1617.96]  Over verschillende apparaten.
[1618.04 --> 1618.90]  Want als jij en.
[1619.42 --> 1621.16]  Je telefoon camera gebruikt.
[1621.34 --> 1623.62]  Maar je geeft ook je telefoonscherm.
[1624.02 --> 1625.34]  Toegang aan dat ding.
[1626.12 --> 1626.52]  Tegelijkertijd.
[1627.08 --> 1627.74]  Kun je dus.
[1628.10 --> 1629.08]  Bijvoorbeeld vragen.
[1630.46 --> 1633.68]  Wat is de code van mijn Airbnb.
[1634.44 --> 1636.74]  Dan heeft hij die e-mail gezien op het scherm.
[1636.86 --> 1638.32]  Dus het is niet dat hij in je Gmail gaat zoeken.
[1638.32 --> 1640.68]  Hij heeft die code op je scherm voorbij zien komen.
[1641.20 --> 1642.16]  En dan kun je dus dingen vragen.
[1642.32 --> 1642.98]  Als help mij herinneren.
[1643.28 --> 1643.90]  Onthoud dit.
[1644.00 --> 1644.78]  En help mij herinneren.
[1644.84 --> 1646.22]  Als ik weer bij mijn deur ben.
[1647.04 --> 1648.52]  En omdat hij dus toegang heeft.
[1648.56 --> 1649.32]  Tot die camera constateert.
[1649.96 --> 1650.66]  Wat een deur is.
[1650.72 --> 1651.60]  Kan hij dat dan zeggen.
[1652.12 --> 1652.56]  Ja ik zit nu.
[1652.64 --> 1653.56]  Nu je dit allemaal vertelt.
[1653.68 --> 1654.22]  Zit ik te denken.
[1655.22 --> 1656.54]  Kan een ander bedrijf.
[1656.78 --> 1657.72]  Dan Google dit.
[1658.34 --> 1658.50]  Ja.
[1658.76 --> 1659.24]  Goeie vraag.
[1659.24 --> 1659.42]  Ik bedoel.
[1659.56 --> 1659.78]  Ik denk.
[1659.94 --> 1661.58]  OpenAI kan een end komen.
[1662.02 --> 1662.72]  Maar die hebben niet.
[1663.24 --> 1663.52]  Google Maps.
[1663.64 --> 1664.38]  De bustijden.
[1664.52 --> 1665.18]  En al die dingen.
[1665.94 --> 1666.74]  En ja.
[1666.74 --> 1667.62]  Dit is waarschijnlijk.
[1668.28 --> 1668.94]  Ik zit nu te denken.
[1669.10 --> 1669.36]  Want wij hebben.
[1669.40 --> 1670.10]  OpenAI heeft ook geen.
[1670.22 --> 1672.06]  Geen mobiel operating systeem.
[1672.16 --> 1673.28]  Waarbij ze op dat niveau.
[1673.74 --> 1675.12]  Het systeem kunnen gebruiken.
[1675.28 --> 1676.94]  Dus ik denk dat het nu een combinatie is.
[1677.04 --> 1677.26]  Van.
[1677.56 --> 1678.96]  Je moet een operating system hebben.
[1679.12 --> 1679.38]  In ieder geval.
[1679.42 --> 1680.22]  Dat hebben wij tot nu toe.
[1680.26 --> 1681.20]  Een beetje geconcludeerd.
[1681.28 --> 1681.46]  Van ja.
[1681.50 --> 1682.48]  Als je niet op die laag zit.
[1682.56 --> 1683.84]  Kan je het nagenoeg vergeten.
[1683.88 --> 1684.94]  Want je wordt gewoon nagebouwd.
[1684.94 --> 1685.58]  En geïntegreerd.
[1685.66 --> 1686.56]  Op de plek waar het toe doet.
[1687.04 --> 1687.48]  Toe doet.
[1687.52 --> 1688.30]  Door de andere partijen.
[1688.30 --> 1690.24]  Maar nu blijkt het natuurlijk ook.
[1690.34 --> 1692.74]  Dat het hebben van een goede gestandardiseerde dataset.
[1692.94 --> 1693.94]  Met realtime data.
[1694.08 --> 1694.52]  Heel vaak.
[1694.70 --> 1696.10]  En achterliggende data.
[1696.28 --> 1696.66]  Dat is ook het.
[1697.58 --> 1698.46]  Van project Astra.
[1698.58 --> 1698.88]  Is zo leuk.
[1698.94 --> 1700.10]  Want Astra is al iets ouder.
[1700.18 --> 1701.80]  Maar nu wordt het wat breder uitgerold.
[1701.80 --> 1703.28]  Dus dat je met je camera rondkijkt.
[1703.38 --> 1703.74]  Die al die.
[1704.04 --> 1704.48]  En die zegt.
[1704.66 --> 1704.86]  Oei.
[1704.98 --> 1706.66]  Volgens mij ben je nu op Kings Cross Station.
[1706.78 --> 1707.12]  In London.
[1707.38 --> 1708.04]  En dan is het.
[1708.36 --> 1708.48]  Ja.
[1708.52 --> 1709.58]  Ze hebben natuurlijk Street View.
[1710.02 --> 1710.20]  Maar.
[1710.72 --> 1712.00]  Heeft OpenAI Street View?
[1712.44 --> 1712.80]  Nee.
[1713.04 --> 1714.02]  Dus in dat opzicht.
[1714.40 --> 1716.56]  Als je gaat kijken naar alle potentiële datasets.
[1716.66 --> 1717.96]  Die Google kan openen.
[1718.06 --> 1719.90]  Die ze door de jaren heen al gekoppeld hadden.
[1719.96 --> 1720.68]  Van Google.com.
[1721.64 --> 1724.70]  Ze zitten op best wel een goede positie nu.
[1724.88 --> 1726.18]  Dus dat is een videootje van een gast.
[1726.28 --> 1728.76]  Want dit is dan je cameraatje omhoog gehouden.
[1728.82 --> 1729.74]  Wat natuurlijk heel awkward is.
[1729.74 --> 1730.92]  Want je ziet de hele tijd mensen lopen.
[1730.92 --> 1732.50]  Die dan met hun camera rondlopen.
[1732.62 --> 1734.12]  Alsof het een soort van Japanse toeristen zijn.
[1734.84 --> 1735.74]  Maar op een gegeven moment.
[1735.84 --> 1737.08]  Op de helft van die video.
[1737.90 --> 1738.86]  Laat ze dan ook zien.
[1739.02 --> 1739.18]  Hier.
[1739.30 --> 1740.18]  Dat is dan met je camera.
[1740.36 --> 1741.60]  Dit kan iedereen doen met zijn telefoon.
[1741.70 --> 1742.62]  Als dit straks uitkomt.
[1742.76 --> 1743.02]  Maar.
[1743.86 --> 1745.50]  Prototypen hebben we ook in die bril.
[1745.78 --> 1748.20]  Dus dan hebben ze zo'n meta Ray-Ban Glass achtige bril.
[1748.94 --> 1750.06]  Waar dat zelfde in gebeurt.
[1750.12 --> 1751.18]  Dan zie je dus een dude fietsen.
[1751.26 --> 1752.16]  Die die bril op heeft.
[1752.24 --> 1753.26]  Die kijkt dan naar een park.
[1753.58 --> 1755.52]  Naast de weg waar hij op dat moment fietst.
[1755.88 --> 1756.10]  En die zegt.
[1756.16 --> 1757.22]  Mag ik fietsen in dit park?
[1757.22 --> 1758.16]  En dan zegt dat ding.
[1758.56 --> 1760.26]  O dat is park bla bla bla.
[1760.92 --> 1762.24]  In Londen.
[1762.42 --> 1763.32]  Daar mag je niet fietsen.
[1763.40 --> 1765.96]  Maar het uiterste puntje van dit park.
[1766.06 --> 1767.16]  Waar je ook bij in de buurt bent.
[1767.24 --> 1768.06]  Als je daar binnen rijdt.
[1768.10 --> 1769.52]  Daar kun je wel heel erg leuk fietsen.
[1769.82 --> 1770.64]  Dan zegt hij vervolgens.
[1770.80 --> 1771.12]  Oké.
[1771.14 --> 1772.10]  Nou ik ga hierheen.
[1772.50 --> 1773.80]  Is er een supermarkt onderweg.
[1773.90 --> 1774.22]  Dan zegt hij.
[1774.26 --> 1774.38]  Ja.
[1774.52 --> 1775.60]  Er is een supermarkt op je route.
[1775.82 --> 1777.00]  Die zit op deze straat.
[1777.02 --> 1778.56]  En op deze straat zit er een supermarkt.
[1778.68 --> 1779.84]  Terwijl die aan het fietsen is.
[1780.46 --> 1782.60]  Dat is dus het combineren van die verschillende bronnen.
[1782.64 --> 1783.38]  Wat Google kan.
[1783.90 --> 1784.26]  Wat ook.
[1784.26 --> 1786.72]  Ik weet niet hoe zij dit gaan repliceren.
[1786.72 --> 1787.44]  Ook dit hele.
[1787.66 --> 1789.24]  Google kan gewoon zo'n stapje maken.
[1789.38 --> 1789.48]  Zo'n zo'n.
[1790.92 --> 1791.70]  Zo'n soort van.
[1791.80 --> 1792.08]  Oké.
