Video title: Economen denken dat je niet werkloos wordt door AI ｜ ✨ Poki
Youtube video code: CWw8nZ8rI9s
Last modified time: 2024-04-09 12:28:32

------------------ 

[0.00 --> 10.00]  MUZIEK
[1222.14 --> 1222.66]  Wat nooit kan.
[1222.76 --> 1223.82]  En dan gaat iedereen erop reageren.
[1223.82 --> 1224.42]  Oh, wat mooi.
[1224.70 --> 1226.00]  En dan gaan mensen daar weer op reageren.
[1226.06 --> 1226.84]  Je laat je foppen.
[1227.12 --> 1227.94]  En daardoor is het prima.
[1228.10 --> 1229.48]  Want er ontstaat engagement.
[1229.74 --> 1230.22]  En dat telt.
[1230.48 --> 1232.26]  Maar het zijn fucking populaire beelden.
[1232.36 --> 1233.60]  Dat is belangrijk om erbij te zeggen.
[1233.74 --> 1238.24]  Als je kijkt naar de meest gedeelde beelden of meest gedeelde posts op Facebook.
[1238.38 --> 1241.74]  Is nu een heel groot deel AI gegenereerd.
[1241.74 --> 1244.80]  En dan ook heel veel mensen die dat voor waarheid aannemen.
[1245.08 --> 1246.74]  Terwijl het meest bizarre plaatjes.
[1246.88 --> 1249.88]  Waar boomers dan op hun Facebook feed zitten te liken.
[1250.70 --> 1251.94]  Dat is relevante informatie.
[1252.66 --> 1252.96]  Precies.
[1253.20 --> 1253.60]  Zeker.
[1253.82 --> 1255.52]  En die groepen zijn dan heel veel waard.
[1255.58 --> 1258.58]  Want als jij natuurlijk een groep hebt met zeg voor het gemak 10 miljoen volgers.
[1258.68 --> 1261.48]  En zie je het als een soort vet mester van zo'n groep.
[1261.58 --> 1263.48]  Dan heb je tot 10 miljoen vet gemest.
[1263.82 --> 1265.00]  En dan verkoop je hem.
[1265.10 --> 1265.70]  Die hele groep.
[1265.82 --> 1269.32]  En dan klap je er even twee weken lang spam voor een of ander product in.
[1269.32 --> 1270.64]  En dan gaat die groep weer dicht.
[1270.78 --> 1272.12]  En dan begint het hele verhaal weer opnieuw.
[1272.22 --> 1273.52]  En dat gaat dan heel cynisch.
[1273.62 --> 1274.42]  Maar dit is wat er gebeurt.
[1274.54 --> 1276.32]  Het is de marktwerking.
[1277.04 --> 1277.44]  Erg mooi.
[1277.44 --> 1281.72]  Maar Facebook vindt dat natuurlijk niet leuk.
[1282.06 --> 1283.78]  Maar ook niet helemaal niet leuk.
[1283.90 --> 1285.68]  Want het is ook een beetje onderdeel van het business model.
[1285.82 --> 1286.12]  Moeilijk.
[1286.54 --> 1286.84]  Maar goed.
[1286.94 --> 1288.06]  Wat is nu het idee?
[1289.06 --> 1289.42]  Dan.
[1289.66 --> 1291.54]  Want Meta heeft best wel een vinger in de pap.
[1291.64 --> 1293.70]  In al die generatieve AI.
[1293.94 --> 1296.22]  Die hebben zelf hun lama's.
[1296.22 --> 1297.50]  Die ze natuurlijk de wereld insturen.
[1297.58 --> 1298.80]  Die wij allemaal weer gaan verbeteren.
[1298.86 --> 1299.84]  En dan gratis teruggeven.
[1301.46 --> 1302.76]  Die zijn nu ook druk met.
[1302.86 --> 1305.70]  Kunnen we dan labelen wat AI generated content is?
[1305.98 --> 1307.92]  Ook een beetje natuurlijk om dat hele platform.
[1308.02 --> 1308.86]  Dat is mijn invulling hoor.
[1308.92 --> 1311.34]  Maar om dat platform wel betrouwbaar te laten zijn.
[1311.54 --> 1313.30]  Dat je kan zeggen tegen je gebruikers.
[1313.38 --> 1313.68]  Kijk.
[1314.28 --> 1315.14]  Maak je geen zorgen.
[1315.52 --> 1318.44]  Als iemand nep dingen op Facebook zet.
[1318.96 --> 1319.96]  Dan weet Facebook dat.
[1320.22 --> 1321.56]  En dat is natuurlijk een beetje het.
[1321.86 --> 1325.18]  En ik denk dat ze op die manier toch nog die likes kunnen krijgen.
[1325.18 --> 1329.56]  Dat is een beetje het beste van twee werelden proberen te pakken.
[1329.74 --> 1332.28]  Je gaat een soort viraal met nep content.
[1332.42 --> 1332.92]  Maar het geeft niet.
[1333.00 --> 1334.48]  Want er zat een icoontje bij van een robot.
[1334.62 --> 1335.64]  Ga ik er maar even zo van uit.
[1337.00 --> 1338.84]  En dus dan je wint een soort vertrouwen.
[1338.96 --> 1341.32]  Terwijl je ook nog die engagement hoog houdt.
[1341.54 --> 1343.70]  Want dat is de strijd natuurlijk binnen Meta.
[1344.36 --> 1347.24]  Als ze het woord fake erbij zouden zetten.
[1347.76 --> 1348.68]  Dat is een slechte branding.
[1348.88 --> 1349.72]  Want dat moeten we niet doen.
[1349.82 --> 1351.12]  Dat moet zijn generated.
[1351.48 --> 1352.14]  En dan ook.
[1352.24 --> 1353.20]  Maar ik vind het nog steeds leuk.
[1353.20 --> 1355.26]  Ik ben benieuwd of het impact gaat hebben.
[1355.42 --> 1357.98]  Of mensen het minder gaan delen.
[1358.06 --> 1360.60]  Op het moment dat het gegenereerd is.
[1361.88 --> 1362.86]  Ik vind het nog steeds ook.
[1362.96 --> 1363.98]  Wat we hadden het er eerder over.
[1364.38 --> 1365.56]  Vorige week YouTube.
[1365.80 --> 1366.80]  Die gaat aangeven.
[1366.90 --> 1367.94]  En nu nog de maker zelf.
[1368.20 --> 1371.26]  Van gebruik je generatieve AI binnen je YouTube video's.
[1372.38 --> 1374.84]  Het zit een beetje in het spectro van CGI vind ik.
[1374.90 --> 1376.10]  Ik vind het een beetje moeilijk daardoor.
[1376.20 --> 1376.44]  Dat ik denk.
[1376.52 --> 1376.66]  Ja.
[1377.04 --> 1377.84]  Hoe ver ga je?
[1377.84 --> 1382.16]  Als jij een virtuele make-up filter erover hebt gezet.
[1382.36 --> 1384.44]  Om je huid wat strakker te krijgen in een video.
[1384.96 --> 1386.28]  Is dat dan generatief?
[1386.38 --> 1388.52]  Of is dat alleen maar CGI make-up?
[1388.82 --> 1390.04]  Dus ik vind het een beetje tricky.
[1390.56 --> 1390.80]  Maar goed.
[1390.84 --> 1391.80]  Ik denk dat zij bedoelen.
[1392.14 --> 1394.96]  Als jij met Sora een complete short film maakt.
[1395.04 --> 1396.82]  Dan vinden we het wel fijn dat jij aangeeft.
[1397.06 --> 1398.00]  Dat dat gemaakt is.
[1398.58 --> 1400.30]  Grotendeels met generatieve algoritme.
[1400.36 --> 1401.14]  Natuurlijk helemaal.
[1401.24 --> 1402.82]  Als het iets te maken heeft met actualiteit.
[1402.82 --> 1405.12]  Dan is het helemaal belangrijk.
[1405.12 --> 1408.80]  Ik zag een artikel in de Wall Street Journal.
[1408.92 --> 1412.46]  Dat ging over het gebruiken van AI in reclames.
[1413.02 --> 1417.52]  Dus reclamebureaus die AI gebruiken om bijvoorbeeld platen te maken.
[1417.94 --> 1419.70]  Voor wat dan ook.
[1419.76 --> 1420.66]  Televisiereclame.
[1420.82 --> 1425.06]  Maar ook posters in bushokjes.
[1425.44 --> 1428.50]  Voor creatieve mensen is het natuurlijk zeer aanlokkelijk.
[1428.76 --> 1432.54]  Om AI te gebruiken als je een plaat gaat maken.
[1432.54 --> 1436.38]  Dus veel grotere kleinbureaus geven ook gewoon toe.
[1436.52 --> 1437.56]  Dat ze daarmee beginnen.
[1438.18 --> 1441.00]  Maar wat niet zo geapprecieerd wordt door klanten.
[1441.42 --> 1444.08]  En uiteindelijk ook de doelgroep van die platen.
[1444.14 --> 1448.66]  Is dat mensen toch herkennen snel dat iets met AI gemaakt is.
[1448.72 --> 1450.10]  Met de huidig stand van de techniek.
[1450.48 --> 1453.06]  Die vinden dan beelden te veel op AI lijken.
[1453.22 --> 1454.10]  En dan is dat gelijk.
[1454.62 --> 1456.22]  Ja, dat vinden mensen niet gezellig.
[1456.60 --> 1458.34]  Dus wat nu die bedrijven allemaal doen.
[1458.34 --> 1462.80]  Is dat ze dan eerst heel erg veel genereren.
[1463.02 --> 1466.08]  Dus ze worden hartstikke goed in het maken van prompts.
[1466.26 --> 1468.98]  Waardoor er creatief en interessant beeld gemaakt wordt.
[1469.14 --> 1471.24]  Om, weet ik veel, een auto mee te verkopen.
[1471.84 --> 1474.34]  En dan vervolgens gaan ze photoshoppen.
[1475.20 --> 1476.34]  En dat doen ze dan door bijvoorbeeld...
[1476.88 --> 1479.28]  Een van de dingen wat mensen irritant vinden naar AI art.
[1479.40 --> 1481.26]  Is beelden die van mensen gemaakt worden.
[1481.38 --> 1483.98]  Ze vinden de huid van mensen veel te glad.
[1484.14 --> 1484.90]  En te glimmend.
[1485.02 --> 1485.74]  En te zacht.
[1485.74 --> 1489.62]  En dat is zo perfect dat het niet meer leuk is om naar te kijken.
[1489.82 --> 1493.74]  Dus dan gaan ze bijvoorbeeld porieën erin photoshoppen.
[1493.94 --> 1496.20]  Ja, autoticititeit wordt toegevoegd.
[1496.26 --> 1500.88]  Ja, oneffenheden worden manueel toegevoegd aan het AI beeldwietse.
[1502.64 --> 1503.88]  Dat vind ik toch wel grappig.
[1503.92 --> 1505.18]  Dit is wel de beeld op zijn kop.
[1505.28 --> 1506.52]  Ja, klein beetje.
[1507.64 --> 1510.74]  Gelukkig is dat nu ook iets, zag ik, wat dan ook weer...
[1510.74 --> 1517.98]  Ja, waar je toch ook AI mee kan gebruiken om dit proces ook te automatiseren.
[1518.06 --> 1518.62]  Nou, gelukkig.
[1519.08 --> 1523.06]  Er zijn tools, dat zijn zogenaamde upscale AI tools.
[1524.12 --> 1525.42]  Magnifier is er een van.
[1525.90 --> 1527.50]  Het zijn een aantal tooltjes.
[1527.50 --> 1530.32]  Dus je kunt er nu een stuk of vier of zo krijgen die best wel groot zijn.
[1530.44 --> 1531.30]  Het zijn best wel duur.
[1531.46 --> 1533.70]  Het kost dan 100 dollar om toegang tot te krijgen.
[1533.88 --> 1535.00]  En dan krijg je iets aan de credits.
[1536.00 --> 1538.18]  En dan kun je een lage resolutie beeld erin gooien.
[1538.66 --> 1541.38]  En dan gebruikt dat ding generatieve AI om de...
[1541.38 --> 1543.22]  Ja, de...
[1543.22 --> 1548.94]  Stel, het is een kleine foto en je wil hem opblazen tot groter formaat.
[1549.40 --> 1553.00]  Dan gaat dat ding, gaat proberen te begrijpen wat hij ziet op die foto.
[1553.12 --> 1556.76]  En dan gaat hij echt letterlijk doen wat vroeger in CSI Enhance...
[1556.76 --> 1557.60]  Weet je wel?
[1557.90 --> 1559.26]  Enhance, riep het tegen de computer.
[1559.42 --> 1562.16]  En dan zo'n horizontale streep over het scherm ging.
[1562.26 --> 1565.00]  En dat daarna de foto die eerst blurry was, daarna scherp werd.
[1565.32 --> 1568.80]  Dat hij daadwerkelijk dat doet, maar dan met generatieve AI.
[1568.80 --> 1573.80]  En wat dat ding dus ook doet, is als je AI beeld van een gladde huid...
[1574.32 --> 1576.80]  Van een AI gegenereerd mens daarin stopt...
[1577.68 --> 1580.44]  Dan gaat dat ding daar die porie bij maken.
[1580.78 --> 1585.80]  Dus als onderdeel van het Enhance proces begrijpt deze AI in ieder geval...
[1586.32 --> 1589.18]  Dat porie horen bij menselijke huid en andere...
[1589.18 --> 1592.08]  En waarschijnlijk als je blijft inzoomen, dan kom je in die porie...
[1592.08 --> 1593.40]  En daar wonen dan kabouters.
[1593.66 --> 1594.66]  Gewoon een hele familie.
[1594.94 --> 1596.14]  Want ja, Enhance.
[1596.14 --> 1598.94]  En dan weer Enhance op de porie van die kabouters.
[1599.10 --> 1599.36]  Nee.
[1601.10 --> 1602.86]  Ik moet zeggen, ik heb dit dus wel gebruikt.
[1603.08 --> 1607.16]  Ik was op een Parijse fotoburs.
[1607.34 --> 1608.84]  En dan had ik een foto gezien die ik mooi vond.
[1608.98 --> 1611.42]  Toen ging ik vragen, wat kost deze foto?
[1611.94 --> 1613.76]  Toen was het antwoord 38.000 euro.
[1613.90 --> 1615.36]  Toen dacht ik, oké, nou laat maar even.
[1615.74 --> 1618.56]  Toen heb ik een foto gemaakt.
[1618.56 --> 1619.44]  Maar ja, het is een beetje fout.
[1619.76 --> 1621.60]  Ik heb een foto gemaakt van de foto.
[1621.60 --> 1626.34]  Die met reverse imagers, de soort van foto gevonden op internet ervan.
[1626.46 --> 1627.74]  Zonder glare en andere dingen.
[1628.06 --> 1633.76]  Nou, die foto, dat was gewoon een goede, soort van glare-vrije, jpeg-versie ervan.
[1634.10 --> 1636.84]  Maar die was maar 1000 pixels breed.
[1637.04 --> 1639.28]  Terwijl als je iets aan de muur wil hangen, moet je het natuurlijk groter hebben.
[1639.84 --> 1643.28]  Die foto heb ik door Magnifier gegooid.
[1643.28 --> 1646.36]  Dat ding heeft daar alle details bij bedacht.
[1646.62 --> 1653.40]  Waardoor die opeens op 300 dpi afgedrukt kon worden op een plaat door een bedrijf die dat uitprint.
[1653.62 --> 1656.58]  En nu heb ik die foto voor minder dan 38.000 euro aan de muur.
[1656.92 --> 1659.64]  Dat is het goede nieuws wat ik kan brengen hierop.
[1659.66 --> 1660.12]  Heel mooi.
[1660.52 --> 1661.46]  Ja, heel mooi.
[1662.12 --> 1662.52]  Oké.
[1662.76 --> 1664.58]  Wie nog meer goed nieuws heeft is Squarespace.
[1664.98 --> 1665.84]  En die hebben een boodschap.
[1666.94 --> 1668.78]  Poki wordt gesponsord door Squarespace.
[1669.16 --> 1672.32]  Ben jij een ondernemer die zich wil onderscheiden en online succes wil boeken?
[1672.32 --> 1673.74]  Let dan even op.
[1674.12 --> 1680.32]  Een beetje ondernemer heeft een website, maar maak je al gebruik van Squarespace om op eenvoudige wijze de meest prachtige websites te maken.
[1680.88 --> 1683.54]  Squarespace's templates zijn niet zomaar templates.
[1683.70 --> 1685.40]  Het zijn kleine kunstwerken.
[1685.74 --> 1687.50]  Gecreëerd door topdesigners.
[1687.76 --> 1693.32]  Want waarom zou je genoegen nemen met middelmatigheid als je de crème de la crème kunt hebben zonder je blauw te betalen aan designbureaus?
[1694.36 --> 1700.32]  Deze templates zijn niet alleen een lust voor het oog op elk appraat, maar ook een stuk betaalbaarder dan een agency inhuren.
[1700.32 --> 1706.62]  Ik ben zelf vaak genoeg afgedwaald naar de donkere krochten van het internet voor gratis templates voor CMS'en.
[1706.70 --> 1708.80]  En ik weet hoe onprettig het daar is.
[1709.24 --> 1710.32]  Maar gelukkig is er Squarespace.
[1710.74 --> 1717.04]  Je website kan eruit zien alsof je een fortuin hebt uitgegeven aan een designer, terwijl je portemonnee helemaal intact blijft.
[1717.04 --> 1724.62]  Squarespace maakt het makkelijk om je eigen website te maken, zodat je je kan focussen op het gedeelte wat jij leuk vindt, het verkopen van je product.
[1725.12 --> 1727.12]  Realiseer je passie met Squarespace.
[1727.68 --> 1730.72]  Speciaal voor Poki-luisteraars heb ik een speciale kortingscode.
[1730.98 --> 1734.36]  Ga naar squarespace.com slash poki voor een gratis trial.
[1734.82 --> 1741.22]  En ben je klaar om je eigen website te lanceren, dan krijg je met de code POKI10 10% korting op je eerste aankoop.
[1741.22 --> 1742.80]  Terug naar de show.
[1743.80 --> 1750.14]  Wij hebben het natuurlijk al langer over dat Spotify onze podcast zou gaan vertalen in Chinees, Duits, Japans en dat dat dan automatisch zou gaan.
[1750.30 --> 1751.32]  Nou dat is dus nog niet zo.
[1751.62 --> 1752.72]  Dus dat ga ik nu niet aankondigen.
[1752.98 --> 1753.94]  Wij wachten daar nog wel op.
[1754.12 --> 1757.00]  Want ik wil Poki-luisteren in het Japans, want de naam is al Japans.
[1757.16 --> 1758.98]  Ik bedoel, dit is gewoon helemaal, dit past gewoon.
[1759.30 --> 1759.94]  Dat kan nog niet.
[1760.58 --> 1763.44]  Maar wat ze wel begeïntroduceert, ook nog niet in Nederland.
[1763.58 --> 1764.76]  Iedere geval, ze rollen hem nu uit.
[1764.82 --> 1768.00]  Het is een beetje een laffe aankondiging, maar het is al wel live voor veel andere mensen.
[1768.08 --> 1769.28]  Dus ik wil het er toch even over hebben.
[1769.28 --> 1779.12]  Dat is namelijk Spotify die playlist samenstelt à la Discover Weekly of Blends voor de Spotify gebruikers die luisteren.
[1779.18 --> 1780.66]  Of misschien zelfs dit luisteren via Spotify.
[1780.82 --> 1781.92]  Die kennen die features al.
[1783.28 --> 1787.78]  Maar wat ze nu ook hebben gedaan is, je kunt een prompt geven aan Spotify.
[1788.00 --> 1791.52]  Zoals je dat als ChatGPT gebruiker of Dali gebruiker gewend bent.
[1791.76 --> 1791.80]  Nee!
[1791.80 --> 1792.10]  Ja ja.
[1792.54 --> 1794.10]  Om playlist te maken.
[1794.70 --> 1795.00]  Ja!
[1795.50 --> 1795.92]  Vet hè!
[1795.92 --> 1799.96]  Dus ik heb alleen nog maar filmpjes gezien van hoe dit werkt, want ik mag er nog niet bij.
[1800.14 --> 1803.60]  Maar ik wil het al benoemen omdat ik gewoon heel benieuwd ben wat luisteraars hiermee gaan doen.
[1804.60 --> 1809.90]  Maar wat ze hebben gedaan is, technisch gezien praat je eigenlijk gewoon met een taalmodel.
[1809.90 --> 1820.00]  En die gaat dan in conclaaf met al bestaande algoritme van Spotify die ook verantwoordelijk zijn voor Discover Weekly en radios en dat soort dingen.
[1820.44 --> 1823.50]  En gaat eigenlijk een playlist maken op basis van jouw omschrijving.
[1823.66 --> 1825.32]  En dat kan dus best wel eclectisch zijn.
[1825.40 --> 1827.76]  Als je goed kan prompten, dat vind ik nu ook wel leuk.
[1827.76 --> 1837.46]  Dus als je dus een beetje, stel je stond tot nu toe aan de zijlijn omdat je tekstprompten en plaatjesprompten en hele nummers maken niet interessant vond.
[1838.02 --> 1839.42]  Maar je bent wel muziekliefhebber.
[1839.66 --> 1841.38]  Ja, dan zou ik zeggen ga los.
[1841.48 --> 1846.02]  Want nu kan jij die playlist omschrijven, die mixtape, dat album, dat verzamelalbum.
[1846.02 --> 1848.82]  Wat misschien nog nooit iemand bedacht heeft.
[1848.94 --> 1849.98]  En daarna ook weer delen.
[1850.14 --> 1851.44]  Ik vind het wel een heel gaaf idee.
[1852.00 --> 1852.56]  Heel cool.
[1853.16 --> 1853.56]  Heel cool.
[1853.64 --> 1856.70]  En het is gewoon een soort van invulveldje waar je dan dat tekwoorden kan plakken.
[1856.70 --> 1858.48]  Ja, het is waar je normaal de titel zou typen.
[1858.74 --> 1861.78]  Of de omschrijving van je playlist, daar typ je nu een prompt.
[1862.34 --> 1865.88]  Ja, in dit geval, ik noem het een prompt omdat wij te diep in die techniek zitten.
[1866.00 --> 1868.58]  Maar het is in essentie gewoon, beschrijf je muzieklijst.
[1868.72 --> 1869.04]  Beschrijving.
[1869.04 --> 1869.14]  Ja.
[1871.36 --> 1875.66]  Alsof het in een magazine staat waar je een verzamel CD kocht, vijf CD'tjes dik vroeger.
[1876.52 --> 1876.90]  En ik...
[1876.90 --> 1879.86]  Het vereist natuurlijk wel dat je moet nadenken over wat je leuk vindt.
[1879.92 --> 1883.90]  Ik vraag me wel af in hoeverre mensen daar nou echt bewust mee bezig zijn.
[1884.44 --> 1889.40]  Als ik moet beschrijven wat mijn muzieksmaak is, moet ik toch echt eerst heel diep nadenken.
[1889.52 --> 1893.20]  Ik vind het makkelijker om artiesten te noemen dan een stijl beschrijven.
[1894.52 --> 1896.94]  Nou ja, ik moet zeggen wat ik wel boeiend zou vinden.
[1896.94 --> 1901.68]  Ik zat een lijst van een hard fork waar ze spraken met iemand die Sora gebruikt heeft om video te genereren.
[1901.92 --> 1905.06]  En toen gingen ze natuurlijk een beetje vragen hoe lang duurt het dan voor zo'n video gegenereerd is.
[1905.06 --> 1906.28]  Dus tien minuten tot vijftien minuten.
[1906.50 --> 1907.26]  Ik had het niet anders verwacht.
[1907.36 --> 1908.74]  Vind ik nog snel eigenlijk als ik ben.
[1909.22 --> 1913.46]  Maar wat ook verteld werd is als jij een prompt doet, dan krijg je de tussenprompt te zien.
[1913.60 --> 1914.32]  Dat vond ik ook wel tof.
[1914.38 --> 1915.56]  Dus dan krijg je eigenlijk...
[1915.56 --> 1918.62]  Je gaat praten en dan zeg je ik wil een video van een eend op een scooter.
[1918.62 --> 1922.38]  En dan zegt hij nou, van jouw ding maak ik als opdracht dit.
[1922.64 --> 1923.38]  Wat vind je daarvan?
[1923.46 --> 1924.56]  Wil je nog aanpassingen geven?
[1924.76 --> 1929.02]  En ik ben dus nu ook benieuwd wat Spotify mij...
[1929.02 --> 1931.30]  Ik wil eigenlijk niet die prompt geven, ik wil mijn prompt zien.
[1931.48 --> 1939.08]  Ik wil zien wat Spotify als een soort tekstveldje van mij heeft om radio of Discover Weekly's voor me te maken.
[1939.20 --> 1941.26]  Hoe ziet de prompt van mijn Discover Weekly eruit?
[1941.70 --> 1942.00]  Dat is eigenlijk...
[1942.00 --> 1943.52]  Ik vind dat we daar recht op hebben, Wietse.
[1943.66 --> 1944.98]  We hebben recht op dat prompt.
[1944.98 --> 1949.60]  Als we geen Japanse vertaling krijgen, dan vind ik wel minimaal dat we onze prompt moeten kunnen zien.
[1950.02 --> 1950.58]  Ja, precies.
[1950.86 --> 1951.98]  Ik denk dat we nu als...
[1952.80 --> 1958.22]  Nou ja, ik zie jij en ik zijn geen wetenschappers in de kunstmaatregelijke intelligentie.
[1958.38 --> 1958.86]  Beiden niet.
[1959.16 --> 1960.44]  We gebruiken een hoop toeltjes.
[1960.74 --> 1966.36]  En ik denk dat ik nu, ik spreek even alleen voor mezelf, best wel een inzicht heb gekregen van...
[1966.36 --> 1968.14]  Oké, dit is een beetje hoe algoritme werken.
[1968.32 --> 1969.68]  Dit is een beetje wat datasets doen.
[1969.82 --> 1972.20]  Dit is een beetje wat temperatuur doet, waar we het net over hadden.
[1972.20 --> 1977.76]  Dat ik daardoor nu ook dus met terugwerkende kracht geïnteresseerd ben geraakt in dingen die eigenlijk al...
[1977.76 --> 1982.16]  In de categorie machine learning AI algoritme hingen al zes, zeven jaar.
[1982.40 --> 1983.12]  Misschien wel langer.
[1983.30 --> 1987.70]  Dus eigenlijk waar we dan de laatste zes, zeven jaar al gebruik van hebben gemaakt...
[1987.70 --> 1990.66]  Dat ik daar nu eigenlijk ook een beetje de binnenkant van wil zien.
[1991.02 --> 1994.40]  Omdat ik zie dat andere systemen nu wel expliciet kunnen zijn van...
[1994.40 --> 1995.08]  Dit is je prompt.
[1995.42 --> 1997.26]  Dit is wat wij halen uit jouw verhaal.
[1997.72 --> 1998.52]  Laat maar zien Spotify.
[1998.90 --> 1999.66]  Ik ben nieuwsgierig.
[1999.66 --> 2001.94]  Er zit ook een soort verwachting in dat...
[2001.94 --> 2005.22]  En die is denk ik terecht dat wij niet goed genoeg kunnen beschrijven...
[2005.22 --> 2007.68]  Wat we nou eigenlijk willen voor de AI.
[2007.82 --> 2010.56]  Dat al die AI's erop staan om tussen prompts toe te passen.
[2010.70 --> 2013.56]  Dus je vraagt iets aan ze en dan op de achtergrond...
[2013.56 --> 2017.52]  Maak ze het prompt eigenlijk uitgebreider en dan leveren ze het resultaat aan je.
[2018.80 --> 2022.88]  Het is ook een soort van extra creativiteit ofzo die ze eraan toevoegen.
[2023.16 --> 2024.80]  Dat is natuurlijk het interessante aan het.
[2024.80 --> 2028.54]  Dat is ook wat helemaal in het geval van muziek wil je verrast worden.
[2028.66 --> 2030.36]  Of je wil dat het een emotie oproept.
[2031.58 --> 2035.54]  En dat is in het geval van denk ik plaatjes eigenlijk ook wel zo.
[2036.34 --> 2039.20]  Eigenlijk wil je niet dat het ding precies doet wat je vraagt.
[2039.30 --> 2042.80]  Maar je wil dat hij een soort van met een beetje sterrenstof.
[2042.96 --> 2044.36]  En dat is die tussen prompt.
[2046.54 --> 2048.36]  Ja, nou fascinerend.
[2048.36 --> 2052.68]  Er komt natuurlijk een moment dat onze podcast in het Japans te beluisteren is via Spotify.
[2052.88 --> 2054.36]  Omdat zij onze stemmen klonen.
[2054.88 --> 2059.08]  En dan gewoon de hele podcast in het Japans kunnen doen.
[2059.58 --> 2062.82]  Waardoor je je kan afvragen wat is eigenlijk nog onze functie op de planeet.
[2063.16 --> 2064.96]  Als podcaster.
[2065.28 --> 2066.96]  Die functie die verdwijnt in ieder geval.
[2067.50 --> 2070.46]  Maar er is een journalist die meent dat er onderscheid te maken is...
[2070.46 --> 2073.70]  tussen de baan van de podcaster en de taak van de podcaster.
[2073.70 --> 2076.66]  En dit is een breder gesprek dan alleen maar over podcasters.
[2076.66 --> 2079.84]  Hij zegt namelijk je moet zo naar al het werk kijken.
[2080.16 --> 2083.76]  Als je wil afvragen of kunstmatige intelligentie ervoor gaat zorgen...
[2083.76 --> 2085.66]  dat wij ons allemaal onze baan kwijt gaan raken...
[2086.48 --> 2088.04]  dan moet je die twee onderscheiden.
[2088.12 --> 2089.96]  Een baan en een taak.
[2090.34 --> 2092.22]  Want wie het nieuws over AI een beetje volgt...
[2092.22 --> 2094.56]  zou al snel kunnen denken dat we allemaal onze baan gaan kwijtraken.
[2094.66 --> 2097.66]  Maar de geschiedenis vertelt, zo betoogt Marits Martijn van de Correspondent...
[2098.36 --> 2099.36]  een heel ander verhaal.
[2099.54 --> 2102.72]  Nieuwe technologie leidt bijna nooit tot massawerkeloosheid.
[2103.22 --> 2105.10]  Integendeel, er komen juist banen bij.
[2105.10 --> 2108.16]  Marits heeft heel veel economen gesproken...
[2108.16 --> 2111.10]  en komt tot een afgewogen idee...
[2111.66 --> 2116.04]  over wat nou daadwerkelijk de impact gaat zijn van AI op de werkgelegenheid.
[2116.76 --> 2119.10]  We horen natuurlijk al decennia lang doemscenario's...
[2119.76 --> 2121.90]  over hoe technologie banen zal vernietigen.
[2122.52 --> 2124.36]  Maar dat komt dus eigenlijk nooit uit.
[2125.32 --> 2127.64]  Over AI zeggen mensen andere dingen.
[2127.78 --> 2129.34]  Ze zeggen deze keer is het anders.
[2129.64 --> 2132.06]  Waarom zouden die AI-voorspellingen wel kloppen?
[2132.06 --> 2134.06]  Ja.
[2135.12 --> 2136.52]  Ja, nou...
[2136.52 --> 2139.84]  Ik denk dat ze over AI ook niet kloppen.
[2141.02 --> 2143.06]  Omdat ik denk dat...
[2143.92 --> 2148.42]  als je kijkt naar de geschiedenis van de voorspellingen...
[2148.42 --> 2152.06]  de geschiedenis van de momenten waarop er voorspeld is...
[2152.06 --> 2158.06]  dat er massawerkloosheid het effect zou zijn van een nieuwe technologie...
[2158.62 --> 2163.66]  dan gebeuren er een aantal dingen die volgens mij nu ook gewoon weer gaan gebeuren.
[2163.66 --> 2167.72]  En een van de dingen die altijd gebeurt...
[2167.72 --> 2175.66]  is dat een technologie wel degelijk bepaalde taken kan automatiseren...
[2175.66 --> 2178.22]  maar nooit hele banen.
[2178.22 --> 2183.32]  Dus je hoort nu bijvoorbeeld best wel veel over radiologen.
[2184.06 --> 2189.22]  Dat is een soort bekend voorbeeld van AI-profeten...
[2189.88 --> 2190.28]  die zeggen...
[2190.28 --> 2191.36]  ja, radiologen...
[2191.36 --> 2195.22]  het heeft helemaal geen zin meer om mensen tot radioloog op te leiden...
[2195.90 --> 2197.26]  omdat we nu AI hebben.
[2197.44 --> 2202.22]  En AI is beter in staat dan een mens om kanker te detecteren.
[2202.22 --> 2206.22]  Ja, dit hoor ik ook altijd als ik dan in de wandelgangen bij talkshows...
[2206.98 --> 2211.22]  dan zitten ze vaak inderdaad medische mensen erbij als het gaat over AI.
[2211.38 --> 2214.16]  En dit is waar medische mensen altijd over praten.
[2214.34 --> 2215.22]  Een soort van...
[2215.22 --> 2220.22]  de foto's die gemaakt worden van mensen met bijvoorbeeld kanker...
[2220.22 --> 2225.60]  kan een AI vaak beter herkennen wat erop staat dan een mens.
[2226.04 --> 2228.76]  Marit, dat zeggen de dokters tegen mij.
[2228.76 --> 2232.72]  Nee, maar ik denk ook dat dat ongetwijfeld zo is...
[2232.72 --> 2235.94]  of in ieder geval zo gaat zijn op een bepaald moment.
[2236.90 --> 2241.74]  Alleen dat betekent niet dat de hele baan van een radioloog verdwijnt.
[2241.86 --> 2242.18]  Juist.
[2242.28 --> 2246.76]  Want een radioloog is een superbelangrijke taak voor een radioloog...
