Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[805.02 --> 806.52]  En het werkt heel erg goed...
[806.52 --> 807.48]  als je...
[807.48 --> 809.26]  Wikipedia-achtige antwoorden...
[809.78 --> 810.56]  wil op een vraag...
[810.56 --> 810.96]  die je hebt.
[811.60 --> 812.62]  In die situatie...
[812.62 --> 813.02]  werkt het goed.
[813.42 --> 814.26]  En zij zijn bezig...
[814.26 --> 815.42]  met een webbrowser...
[815.42 --> 816.22]  voor desktop...
[816.22 --> 817.48]  in eerste instantie...
[817.48 --> 818.26]  die...
[818.26 --> 819.06]  een agent is.
[819.06 --> 820.36]  die voor jou...
[820.36 --> 821.52]  kan browsen...
[821.52 --> 822.18]  en ook dingen...
[822.18 --> 823.08]  kan doen voor jou.
[823.66 --> 824.40]  Dus de vraag is...
[824.40 --> 825.04]  ik denk...
[825.04 --> 825.56]  iedereen gaat...
[825.56 --> 826.28]  iedereen gaat...
[826.28 --> 827.42]  agents proberen te maken.
[827.62 --> 829.62]  Google, Apple, Microsoft...
[829.62 --> 830.06]  de hele...
[830.06 --> 830.94]  hele zooi...
[830.94 --> 831.48]  gaat proberen...
[831.48 --> 832.16]  agents te maken.
[832.78 --> 833.00]  En...
[833.00 --> 834.16]  en ARK is dan...
[834.16 --> 835.02]  een browser...
[835.02 --> 836.48]  die als onafhankelijke partij...
[836.48 --> 837.74]  ook gaat proberen...
[837.74 --> 838.02]  dit te doen.
[838.06 --> 838.74]  Maar ik weet je...
[838.74 --> 840.12]  wij hebben het hier al zo lang over...
[840.12 --> 840.74]  en ik zit even...
[840.74 --> 841.38]  te denken...
[841.38 --> 842.42]  waar blijft het nou?
[842.42 --> 843.38]  Ja, want even van...
[843.38 --> 844.64]  Waarom duurt dit zo lang?
[844.94 --> 846.36]  Wat ARK dan dus belooft is...
[846.36 --> 846.52]  van...
[846.52 --> 850.40]  ik wil een boek kopen...
[850.40 --> 851.66]  en dan zie je die browser...
[851.66 --> 852.28]  echt gewoon...
[852.28 --> 853.30]  gaan browsen voor jou.
[853.60 --> 855.00]  En die gaat dan naar Amazon...
[855.00 --> 855.84]  en die klikt op dat boek...
[855.84 --> 857.06]  en die klikt ook op afrekenen...
[857.06 --> 858.10]  en die voert je adres in.
[858.76 --> 860.04]  Ja, alsof je een...
[860.04 --> 861.38]  persoon hebt in huis...
[861.38 --> 862.20]  die je kan vragen...
[862.20 --> 863.34]  om voor jou te browsen.
[863.46 --> 864.34]  Dat is wat ARK...
[864.34 --> 865.10]  in ieder geval belooft.
[865.62 --> 866.92]  En daar gaat het nu...
[866.92 --> 867.62]  een beetje naartoe...
[867.62 --> 868.80]  en dat zou voor Google...
[868.80 --> 869.44]  een logische zijn...
[869.44 --> 870.12]  want Google is...
[870.12 --> 871.22]  en een zoekmachine...
[871.22 --> 872.26]  en een browser...
[872.26 --> 873.62]  en een operating system...
[873.62 --> 875.30]  en een mobiel operating system...
[875.30 --> 876.28]  en een hardware maker.
[876.28 --> 876.46]  Ja.
[876.60 --> 877.42]  En ze hebben AI.
[877.76 --> 879.16]  Dus volgens mij liggen hun kaarten...
[879.16 --> 879.56]  Pak ik tik zit.
[879.62 --> 879.78]  Ja.
[880.02 --> 880.16]  Maar...
[880.16 --> 881.42]  wat ik nu zit te denken...
[881.42 --> 882.16]  tijdens ons gesprek is...
[883.32 --> 883.72]  kijk...
[883.72 --> 884.66]  niet alles is iets...
[884.66 --> 886.24]  waar je gewoon geld tegen aan kan gooien.
[886.64 --> 887.26]  Gelukkig maar.
[887.64 --> 889.16]  Anders zou de wereld er ook anders uitzien.
[889.24 --> 889.94]  Dan zouden echt...
[889.94 --> 891.30]  echt alleen maar de mensen met geld...
[891.30 --> 891.94]  alles kunnen fixen.
[892.02 --> 892.88]  En dat kan toch niet.
[892.88 --> 894.00]  in ieder geval niet binnen...
[894.00 --> 895.76]  bedrijvigheid...
[895.76 --> 897.32]  en zeker niet binnen de tech.
[897.76 --> 898.44]  Want...
[898.44 --> 900.70]  we hebben Google Video als voorbeeld.
[900.96 --> 902.26]  De tegenhanger van YouTube...
[902.26 --> 902.84]  is mislukt.
[903.32 --> 904.02]  Google had geld.
[904.24 --> 905.38]  Google had engineering talent.
[905.54 --> 906.98]  Google had een knopje video...
[906.98 --> 907.90]  in Google.com...
[907.90 --> 909.26]  en nog moesten ze YouTube kopen.
[909.40 --> 909.50]  Ja.
[910.84 --> 912.26]  Google Circles...
[912.26 --> 912.72]  Plus...
[912.72 --> 913.56]  ik weet niet eens hoe het heet...
[913.56 --> 914.40]  maar hun Facebook...
[914.40 --> 914.64]  Google Plus, ja.
[915.02 --> 915.82]  Ja, Google Plus.
[916.02 --> 917.20]  Daar zaten Circles in volgens mij.
[917.20 --> 918.20]  Maar goed, dan...
[918.20 --> 919.84]  hun antwoord op Facebook...
[919.84 --> 920.32]  mislukt.
[920.86 --> 921.70]  Wat hadden we nog meer?
[921.76 --> 922.54]  Een tegenhanger...
[922.54 --> 923.40]  Knol of zo...
[923.40 --> 924.56]  als tegenhanger van Wikipedia.
[924.84 --> 925.48]  Ik ben het allemaal...
[925.48 --> 925.86]  ergens...
[925.86 --> 927.12]  ik wil het eigenlijk niet meer weten...
[927.12 --> 927.46]  dit allemaal.
[927.64 --> 929.22]  Maar Google heeft dus echt...
[929.22 --> 929.94]  echt...
[929.94 --> 932.42]  helikopters vol diamanten gegooid...
[932.42 --> 933.06]  op deze project...
[933.06 --> 934.20]  en het is gewoon niet gelukt.
[934.74 --> 936.06]  En daar ben ik blij mee...
[936.06 --> 937.14]  want dat betekent dus...
[937.14 --> 937.98]  dat het niet genoeg is.
[938.02 --> 938.68]  Je moet meer hebben.
[939.14 --> 940.06]  Maar...
[940.06 --> 941.26]  we hebben ook Google Chrome.
[942.06 --> 943.36]  De poging van Google...
[943.36 --> 944.42]  om een eigen browser te bouwen.
[944.50 --> 945.30]  Nou, dat is wel gelukt.
[946.08 --> 947.14]  We hebben Android...
[947.14 --> 948.30]  de poging van Google...
[948.30 --> 949.70]  om een mobiel operating system te bouwen...
[949.70 --> 950.60]  is ook wel gelukt.
[950.98 --> 951.62]  Gmail...
[951.62 --> 952.46]  de poging van Google...
[952.46 --> 953.82]  om Hotmail weg te blazen...
[953.82 --> 954.36]  is gelukt.
[954.82 --> 955.46]  Dus laten we...
[955.46 --> 956.04]  we kunnen lachen...
[956.04 --> 957.20]  wat we doen om Google...
[957.20 --> 957.98]  maar soms lukt het.
[958.78 --> 961.14]  En ik denk dat onze grote vraag nu is...
[961.14 --> 962.66]  is dit Gemini ding nou...
[962.66 --> 963.92]  Gmail...
[963.92 --> 964.76]  of Google Plus?
[965.66 --> 966.28]  Ik weet het niet.
[967.72 --> 968.30]  We gaan het zien.
[968.48 --> 969.22]  Over een jaar...
[969.22 --> 970.62]  denk ik dat we het wel ongeveer weten...
[970.62 --> 971.76]  want bij Google Plus...
[971.76 --> 972.68]  voelden we het al heel gauw.
[972.98 --> 973.56]  Weet ik nog.
[974.32 --> 975.14]  Eigenlijk al meteen.
[975.72 --> 976.02]  Maar goed.
[976.02 --> 977.66]  Ja, voor mij maakt het...
[977.66 --> 978.96]  voor mij is het echt het verschil...
[978.96 --> 980.86]  tussen is het een aparte app...
[980.86 --> 982.34]  en waar je...
[982.34 --> 985.00]  wat dezelfde functie hebt als ChatGPT...
[985.00 --> 987.10]  of is het geïntegreerd...
[987.10 --> 988.08]  met andere Google services.
[988.22 --> 989.08]  Want dat is het moment...
[989.08 --> 990.96]  dat het begint te leven voor mij.
[991.08 --> 992.28]  En ik denk ook voor de meeste mensen.
[992.40 --> 993.08]  Want nu...
[993.08 --> 995.00]  ze hebben het nu in Google One gevouwen.
[995.14 --> 996.40]  Dat is hun...
[996.40 --> 997.18]  ja...
[997.18 --> 998.46]  betaalde tier...
[998.46 --> 1000.10]  waar je dus extra schrijfruimte...
[1000.10 --> 1001.46]  in je Google foto's...
[1001.46 --> 1002.46]  extra schrijfruimte...
[1002.46 --> 1002.98]  in je Gmail.
[1003.10 --> 1004.46]  Het is het ding wat je neemt...
[1004.46 --> 1005.76]  als een service van Google...
[1005.76 --> 1006.58]  die je veel gebruikt...
[1006.58 --> 1006.84]  zegt...
[1006.84 --> 1007.96]  je schrijfruimte is op.
[1008.32 --> 1009.10]  Dat is het moment...
[1009.10 --> 1010.36]  dat mensen Google One nemen.
[1010.76 --> 1012.02]  En het is gewoon een bundel...
[1012.02 --> 1013.14]  van allerlei Google producten...
[1013.14 --> 1014.02]  waar zij nu...
[1014.02 --> 1015.54]  advanced hebben ingedouwd.
[1015.88 --> 1017.14]  Ook weer 20 dollar...
[1017.14 --> 1017.64]  per maand.
[1018.20 --> 1019.52]  Ook weer allerlei...
[1019.52 --> 1020.72]  add-ons erin.
[1020.92 --> 1021.44]  Zoals...
[1021.44 --> 1021.96]  zoals...
[1021.96 --> 1023.88]  zoals de anderen dat ook proberen.
[1024.00 --> 1024.98]  Gewoon niet alleen maar...
[1024.98 --> 1026.26]  het taalmodel van ChatGPT...
[1026.26 --> 1027.68]  maar ook allerlei storage space.
[1027.84 --> 1028.50]  En weet ik veel allemaal.
[1028.64 --> 1029.76]  Notion probeert dit.
[1030.10 --> 1031.18]  Dropbox probeert dit.
[1031.18 --> 1033.18]  en...
[1034.04 --> 1035.18]  de vraag is...
[1035.92 --> 1037.18]  ik denk dus dat mensen...
[1037.94 --> 1039.10]  ik denk dat je schrijfruimte...
[1039.10 --> 1040.18]  extra schrijfruimte gaat nemen...
[1040.72 --> 1041.30]  bij Google...
[1041.30 --> 1042.10]  omdat die vol is.
[1042.56 --> 1043.86]  Maar ik denk niet dat je AI...
[1043.86 --> 1044.60]  gaat nemen...
[1044.60 --> 1046.10]  omdat het er gewoon is.
[1046.44 --> 1047.46]  Je moet ergens...
[1047.46 --> 1049.32]  een limitatie tegenkomen...
[1049.32 --> 1050.18]  die je kan over...
[1050.92 --> 1051.30]  hoe dacht je dat?
[1051.34 --> 1052.18]  waar je overheen kan springen...
[1052.88 --> 1054.20]  door een bepaalde service te nemen.
[1054.30 --> 1055.54]  En dat gaat...
[1055.54 --> 1056.92]  dat gaan we voelen, denk ik...
[1056.92 --> 1058.14]  in de Google producten...
[1058.14 --> 1059.26]  die we iedere dag gebruiken.
[1059.82 --> 1060.26]  Zodra dat...
[1060.26 --> 1061.10]  ik denk dat...
[1061.10 --> 1062.26]  en ik zit te denken dat uiteindelijk...
[1062.98 --> 1063.26]  je...
[1063.98 --> 1064.44]  wat ik...
[1064.44 --> 1066.32]  hoe het voor mij meetbaar zou zijn...
[1066.32 --> 1067.56]  kijk in mijn eigen leven is het...
[1067.56 --> 1069.56]  hoe vaak per dag open ik nog ChatGPT...
[1069.56 --> 1071.56]  of ga ik ineens naar Gemini...
[1071.56 --> 1073.08]  want als dat ding sneller...
[1073.08 --> 1073.26]  beter...
[1074.32 --> 1075.52]  kan programmeren...
[1075.52 --> 1075.82]  dan...
[1075.82 --> 1076.64]  ik ben niet loyaal.
[1076.90 --> 1077.44]  Gewoon niet.
[1077.70 --> 1079.42]  Ik wil gewoon snel gaan...
[1079.42 --> 1080.06]  en dat het goed is...
[1080.06 --> 1081.70]  en als het mij ook nog beter dingen kan uitleggen...
[1081.70 --> 1082.36]  dan ben ik gewoon om.
[1082.46 --> 1083.50]  Doei, open AI...
[1083.50 --> 1084.38]  maakt me niks uit.
[1084.62 --> 1085.98]  Klik aan de ene kant cancel...
[1085.98 --> 1087.32]  en aan de andere kant klik op subscribe.
[1087.32 --> 1088.98]  Zo hard is het op...
[1088.98 --> 1089.94]  met subscription services.
[1090.10 --> 1090.18]  Ja.
[1091.24 --> 1092.30]  Maar dat ben ik dan...
[1092.30 --> 1094.54]  met mijn redelijk specifieke use case.
[1095.92 --> 1098.24]  Ik zit wel te denken dat de gemiddelde...
[1098.24 --> 1099.62]  er bestaat nooit een gemiddelde mens...
[1099.62 --> 1101.92]  maar die nu open AI opent...
[1101.92 --> 1103.16]  dagelijks of wekelijks...
[1103.16 --> 1104.76]  de app op hun telefoon...
[1104.76 --> 1105.76]  en ze betalen niet...
[1105.76 --> 1106.66]  maar ze hebben wel die app...
[1106.66 --> 1107.88]  en daar doen ze soms vragen aan stellen.
[1108.04 --> 1109.18]  Ik heb de cijfers niet...
[1109.18 --> 1110.70]  maar als ik open AI hoor...
[1110.70 --> 1111.74]  gebeurt dit heel veel...
[1111.74 --> 1113.44]  en hebben ze ontzettend veel daily users.
[1113.44 --> 1116.44]  Kijk, als die mensen die app niet meer gaan openen...
[1116.44 --> 1118.10]  en gewoon met de assistant gaan praten...
[1118.10 --> 1119.88]  om dezelfde vragen te stellen...
[1119.88 --> 1122.38]  dat is de meetbaarheid voor mij...
[1122.38 --> 1123.66]  of het gelukt is bij Google.
[1124.02 --> 1127.46]  Of het Gemini project inderdaad aanslaat.
[1127.74 --> 1130.22]  Want als zij op een Google I.O. gaan zeggen...
[1130.22 --> 1131.42]  dat ze zoveel queries doen...
[1131.42 --> 1132.14]  ja, het zal maar wel.
[1132.28 --> 1133.22]  Ik wil weten...
[1133.22 --> 1135.44]  gaan mensen inderdaad niet meer open AI...
[1135.44 --> 1137.08]  de website of de app openen.
[1137.38 --> 1138.22]  Want het hoeft niet meer.
[1138.22 --> 1140.28]  Ja.
[1140.88 --> 1141.86]  En dan komt daar...
[1141.86 --> 1143.28]  Apple dan met hun Siri Plus...
[1143.28 --> 1144.54]  slash Super Siri...
[1144.54 --> 1145.66]  dan nog een beetje achteraan...
[1145.66 --> 1146.48]  Ja.
[1146.86 --> 1148.46]  Ja, kijk, we hebben dat Apple...
[1148.46 --> 1148.86]  Jezus.
[1149.48 --> 1149.70]  Ja.
[1150.10 --> 1152.08]  Ik zag dus Sam Altman...
[1152.08 --> 1153.58]  in een interview zeggen...
[1153.58 --> 1155.14]  dat hij een WhatsApp groep heeft...
[1155.14 --> 1156.86]  met een aantal founders...
[1156.86 --> 1158.30]  in Silicon Valley.
[1158.70 --> 1160.66]  En dat ze een weddenschap hebben lopen...
[1160.66 --> 1162.48]  in die WhatsApp groep...
[1162.48 --> 1163.78]  met de vraag...
[1163.78 --> 1164.66]  welk jaar...
[1165.44 --> 1167.26]  zal het eerste bedrijf er zijn...
[1167.26 --> 1169.18]  met tien mensen of minder...
[1169.18 --> 1169.98]  personeel...
[1169.98 --> 1171.48]  wat meer dan een miljard waard is.
[1172.38 --> 1173.88]  En dit is dan...
[1173.88 --> 1175.64]  een lopende weddenschap die ze hebben...
[1175.64 --> 1177.64]  en de gedachte daarachter...
[1177.64 --> 1179.32]  of de implicatie...
[1179.32 --> 1180.16]  van die vraag is...
[1180.16 --> 1181.92]  wanneer is er...
[1181.92 --> 1183.92]  wanneer zijn AI agents...
[1183.92 --> 1184.96]  goed genoeg...
[1184.96 --> 1186.56]  dat je een soort van...
[1186.56 --> 1188.82]  een marketing agent hebt...
[1188.82 --> 1189.12]  die...
[1189.12 --> 1189.58]  of weet ik...
[1189.58 --> 1190.76]  misschien veel specifieker...
[1190.76 --> 1192.76]  een AdWords...
[1192.76 --> 1194.58]  soort van conversie marketing...
[1194.58 --> 1195.36]  agent hebt...
[1195.36 --> 1196.18]  en een...
[1196.18 --> 1197.72]  brand marketing...
[1197.72 --> 1198.28]  logo generator...
[1199.38 --> 1200.56]  of weet ik veel andere...
[1200.56 --> 1203.28]  brand meuk genererende agent...
[1203.80 --> 1205.98]  en een agent die al je accounting doet...
[1205.98 --> 1206.58]  en al je...
[1206.58 --> 1208.24]  dus een soort van hele boom...
[1208.24 --> 1209.34]  aan allemaal agents...
[1209.34 --> 1210.36]  die het werk doen...
[1210.36 --> 1212.04]  waardoor je minder mensen nodig hebt...
[1212.04 --> 1212.86]  waardoor je...
[1212.86 --> 1213.78]  met minder mensen...
[1213.78 --> 1215.74]  een veel waardevoller bedrijf kan bouwen...
[1215.74 --> 1216.74]  dit gaat gebeuren...
[1216.74 --> 1218.14]  is de aanname...
[1218.14 --> 1218.80]  de vraag is...
[1218.80 --> 1220.28]  wanneer gaat dit gebeuren?
[1220.28 --> 1222.36]  Ik vind dat wel een vette...
[1222.36 --> 1223.28]  framing...
[1223.92 --> 1224.28]  om...
[1225.00 --> 1225.76]  ja...
[1225.76 --> 1227.36]  om de vooruitgang...
[1227.36 --> 1228.42]  te schetsen.
[1228.44 --> 1229.28]  En dan...
[1229.28 --> 1230.42]  je komt dan op het punt...
[1230.42 --> 1231.28]  van daadwerkelijk...
[1232.36 --> 1233.64]  hypercapitalisme...
[1233.64 --> 1235.48]  waarbij het er om gaat...
[1235.48 --> 1236.98]  van wie is de domeinnaam?
[1237.34 --> 1238.74]  Van wie is het App Store account?
[1239.16 --> 1240.26]  En van wie is de brand?
[1240.76 --> 1242.14]  Die persoon stuurt...
[1242.14 --> 1244.14]  de 10.000 agents aan eronder...
[1244.14 --> 1245.66]  en is uiteindelijk degene...
[1245.66 --> 1247.26]  waarbij de bankrekening gevuld wordt.
[1247.26 --> 1249.20]  Even in een soort absurde...
[1249.20 --> 1250.28]  maar dat is natuurlijk...
[1250.28 --> 1251.30]  waar zij het eigenlijk over hebben.
[1251.76 --> 1254.22]  En dat gaat wel bijzonder zijn.
[1254.44 --> 1257.06]  Want dan krijg je dus die...
[1257.06 --> 1257.98]  Nou ik moet zeggen dat...
[1257.98 --> 1258.50]  ik vind het wel grappig...
[1258.50 --> 1259.74]  dat het ook nog eens een WhatsApp groep is...
[1259.74 --> 1260.82]  want WhatsApp staat er dan...
[1260.82 --> 1262.10]  dit heb ik nooit kunnen veriveren...
[1262.10 --> 1263.22]  maar bekend om...
[1263.22 --> 1264.56]  dat voordat zij verkocht werden...
[1264.56 --> 1266.44]  voor een miljard of meer...
[1266.44 --> 1268.04]  dat er maar 18 mensen werkt of zo.
[1268.14 --> 1269.50]  Voor mij hadden ze 18 engineers...
[1269.50 --> 1270.48]  die de heleboel uphielden.
[1270.54 --> 1272.22]  Waarschijnlijk werkte er toen al wat legal en zo.
[1272.54 --> 1273.60]  Ja maar geen revenue.
[1274.56 --> 1276.70]  Ja maar dan is wel de waarde...
[1276.70 --> 1277.98]  van het bedrijf wel hoog natuurlijk.
[1278.76 --> 1280.42]  Hoe is die weddenschap precies bepaald?
[1280.58 --> 1282.02]  Wat er voor betaald wordt bij opennames?
[1282.02 --> 1283.12]  Volgens mij zit er wel een element...
[1283.12 --> 1283.88]  van revenue in.
[1284.60 --> 1286.54]  Ja dus dat is...
[1286.54 --> 1287.44]  ik denk dat ze zeggen...
[1287.44 --> 1289.10]  1 miljard omzet per jaar.
[1290.52 --> 1292.66]  En dus revenue moet er wel onderdeel.
[1292.80 --> 1293.32]  Want het is niet zo...
[1293.32 --> 1294.70]  En hij heeft geen screenshots geshared...
[1295.22 --> 1296.56]  van hoe de pol nu loopt.
[1297.34 --> 1298.52]  Hoe zitten de balkjes?
[1299.36 --> 1300.20]  Maar het is ook...
[1300.20 --> 1302.10]  het is ook nog in de dynamiek...
[1302.10 --> 1303.88]  waarin iedereen toegang heeft...
[1303.88 --> 1304.62]  tot die...
[1304.62 --> 1305.42]  tot die...
[1305.42 --> 1306.80]  taalmodellen.
[1307.06 --> 1308.52]  En iedereen agents kan maken.
[1308.76 --> 1309.48]  Dus het is ook...
[1309.48 --> 1310.94]  het is niet zo van...
[1310.94 --> 1312.42]  dit is een proprietary...
[1312.42 --> 1313.72]  taalmodel...
[1313.72 --> 1314.50]  waar je alleen maar...
[1314.50 --> 1316.08]  één persoon toegang toe heeft...
[1316.08 --> 1316.92]  en die kan vervolgens...
[1316.92 --> 1317.66]  dat bedrijf bouwen.
[1317.76 --> 1317.88]  Nee.
[1318.22 --> 1319.42]  Het is ook nog eens in een wereld...
[1319.42 --> 1320.52]  waarin iedereen dat kan doen.
[1320.66 --> 1321.42]  Wat de...
[1322.20 --> 1322.48]  weet je...
[1322.48 --> 1324.08]  in een marktdynamiek...
[1324.08 --> 1325.82]  waarin iedereen dan vervolgens gaat proberen...
[1325.82 --> 1327.32]  om met zo min mogelijk mensen...
[1327.32 --> 1328.48]  medewerkers...
[1328.48 --> 1329.72]  zo rijk mogelijk te worden.
[1329.72 --> 1332.04]  om het maar even heel erg flauw plat te slaan...
[1332.04 --> 1333.72]  is het nog moeilijker...
[1334.32 --> 1334.94]  om die...
[1334.94 --> 1336.08]  om dat doel te bereiken.
[1336.92 --> 1338.28]  Behalve dus voor die bedrijven...
[1338.28 --> 1339.86]  die dat enorme netwerkeffect hebben.
[1339.94 --> 1341.44]  Want we zitten natuurlijk nu...
[1341.44 --> 1343.40]  zeg maar in een ultieme vrije markt...
[1343.40 --> 1343.82]  zou je zeggen...
[1343.82 --> 1344.72]  iedereen heeft zijn eigen kraampje...
[1345.36 --> 1346.50]  iedereen kan meedoen...
[1346.50 --> 1347.68]  heel de tijd goed op je rug letten...
[1347.68 --> 1348.64]  wie er achter je aanrent...
[1348.64 --> 1350.36]  want je kan in ieder moment weggeconcureerd worden...
[1350.36 --> 1352.22]  door een meisje van zeven...
[1352.22 --> 1353.76]  die op een betere manier iets koppelt...
[1353.76 --> 1355.24]  en de App Store account beheert.
[1356.28 --> 1356.72]  Maar...
[1356.72 --> 1358.48]  sommige zaken...
[1358.48 --> 1359.42]  als die eenmaal staan...
[1359.42 --> 1360.76]  dan staan ze nou eenmaal...
[1360.76 --> 1361.96]  en dan is het een soort...
[1361.96 --> 1363.66]  een soort Japanse...
[1363.66 --> 1364.14]  hoe heet dat?
[1364.70 --> 1365.34]  Kers of zo?
[1365.70 --> 1366.18]  Hoe heet dat?
[1366.34 --> 1366.96]  Vreselijke spul...
[1366.96 --> 1368.24]  wat je niet in je achtertuin moet hebben.
[1369.72 --> 1370.82]  Ik ben het even kwijt.
[1370.92 --> 1371.42]  Maar...
[1371.42 --> 1372.80]  als je dat helemaal in je tuin hebt...
[1372.80 --> 1373.44]  kan je het echt vergeten.
[1373.52 --> 1374.74]  Dan moet je gewoon je tuin gaan afgraven...
[1374.74 --> 1375.74]  Zo bamboe.
[1376.18 --> 1376.74]  En dan moet je...
[1376.74 --> 1378.20]  ja, dan moet je platen aan de zijkant...
[1378.20 --> 1379.44]  erin gaan slaan...
[1379.44 --> 1380.74]  en dan moet je het eigenlijk...
[1380.74 --> 1382.22]  helemaal afgraven.
[1383.02 --> 1383.74]  Je Japanse duizend...
[1384.88 --> 1385.22]  knoop.
[1385.60 --> 1386.28]  Ja, ik ben er.
[1386.40 --> 1386.52]  Zo.
[1386.60 --> 1387.08]  Oké, fijn.
[1387.16 --> 1387.98]  Fijn dat we dit weten.
[1387.98 --> 1389.68]  Ja, mijn assistente heet niet.
[1390.06 --> 1391.00]  Maar ik weet niks meer.
[1392.20 --> 1393.50]  Wat je niet gebruikt verlies je.
[1393.68 --> 1394.42]  Ik weet niks meer.
[1395.00 --> 1395.30]  Maar...
[1395.30 --> 1396.98]  dat sommige...
[1397.58 --> 1398.66]  laat ik te zeggen...
[1398.66 --> 1399.82]  sommige projecten...
[1399.82 --> 1400.82]  of het nou een bedrijf is...
[1400.82 --> 1401.98]  of een idee...
[1401.98 --> 1403.20]  dat zijn echt een soort...
[1403.20 --> 1404.26]  Japanse duizendknopen.
[1404.36 --> 1405.40]  Dus die zijn dan wel moeilijk...
[1405.40 --> 1406.90]  om te blazen als één iemand die bezit.
[1407.04 --> 1408.70]  Dat zie je nu een beetje met X zeg maar.
[1408.84 --> 1409.66]  Wat je er ook mee doet...
[1409.66 --> 1410.92]  op een of andere manier...
[1410.92 --> 1411.60]  is niet stuk te krijgen.
[1411.60 --> 1412.40]  Maar niet verneukt.
[1413.00 --> 1415.36]  Nee, dat is bijna niet meer kapot te maken blijkbaar.
[1415.78 --> 1416.02]  Goed.
[1416.12 --> 1416.68]  Een ander nieuws.
[1416.80 --> 1418.50]  Ik zag dat in Science...
[1418.50 --> 1419.60]  er een paper is gepubliceerd...
[1420.24 --> 1421.74]  van een paar wetenschappers...
[1421.74 --> 1423.44]  van de New York University.
[1423.86 --> 1426.48]  En zij gingen in op de vraag...
[1426.48 --> 1429.98]  hoe zouden we AI-modellen moeten trainen?
[1430.50 --> 1432.30]  Namelijk geven ze in één keer...
[1432.30 --> 1433.60]  een hele bak met data...
[1434.98 --> 1436.42]  om van te leren om op te trainen.
[1436.48 --> 1437.64]  Dus in één keer krijgen ze...
[1437.64 --> 1439.30]  heel veel informatie tot de beschikking.
[1439.30 --> 1441.78]  Of moeten we eigenlijk AI...
[1441.78 --> 1444.18]  wat kunstmatige intelligentie betekent...
[1444.18 --> 1446.76]  waarbij we mensen proberen na te doen...
[1446.76 --> 1448.84]  die manier waarop mensen leren...
[1448.84 --> 1450.32]  namelijk je begint met nul...
[1450.32 --> 1452.94]  en langzaam krijg je een steeds beter idee...
[1452.94 --> 1453.56]  van de wereld.
[1453.72 --> 1455.26]  Omdat je als baby...
[1455.26 --> 1457.54]  heel langzaam eigenlijk...
[1457.54 --> 1458.50]  of heel snel...
[1458.50 --> 1460.02]  zo zou je ook kunnen zeggen...
[1460.02 --> 1461.70]  heel veel ziet van de wereld...
[1461.70 --> 1462.62]  en zo train je.
[1462.90 --> 1463.76]  Hebben zij gekeken...
[1463.76 --> 1465.26]  kunnen we een AI-model...
[1465.26 --> 1467.98]  niet op zo'n hele grote bak met data trainen...
[1467.98 --> 1470.46]  maar kunnen we daadwerkelijk...
[1470.46 --> 1474.00]  een AI trainen op het leven van een baby?
[1474.66 --> 1476.36]  Wat zij hebben gedaan, Witse...
[1476.36 --> 1477.36]  is...
[1477.36 --> 1479.36]  in een baby...
[1479.36 --> 1481.50]  die heet Sam...
[1481.50 --> 1483.60]  vanaf zes maanden...
[1483.60 --> 1485.92]  totdat hij 25 maanden was...
[1485.92 --> 1487.44]  heeft hij wekelijks een uur lang...
[1487.44 --> 1489.30]  met een camera op zijn hoofd gelopen.
[1489.60 --> 1490.70]  Dat is een...
[1490.70 --> 1491.08]  Dus zo'n...
[1491.08 --> 1491.72]  Even voor de...
[1491.72 --> 1492.62]  Het is een mensenkind.
[1492.72 --> 1493.10]  Ja, mensenkind.
[1493.10 --> 1494.24]  Een daadwerkelijk levend...
[1494.24 --> 1495.52]  Daadwerkelijk levend kind.
[1495.88 --> 1498.04]  Heeft ongeveer 1% van de wakkere uren...
[1498.04 --> 1499.94]  dus een camera op zijn hoofd gehad.
[1500.24 --> 1502.46]  Die registreerde alles wat hij zag en hoorde.
[1502.76 --> 1504.26]  Dus die speelde met speelgoed...
[1504.26 --> 1506.02]  of die liep in het park...
[1506.02 --> 1507.18]  of die was met een...
[1507.18 --> 1508.26]  veel huisdier aan het spelen.
[1508.68 --> 1510.88]  Die opnames zijn getranscribeerd...
[1510.88 --> 1512.48]  en gevoed aan een AI...
[1512.48 --> 1513.08]  die zo was ingesteld...
[1513.08 --> 1515.08]  dat het begreep...
[1515.76 --> 1517.08]  welke woorden en...
[1517.64 --> 1519.10]  dus welke audio...
[1519.10 --> 1520.46]  en welke visuele dingen...
[1520.46 --> 1523.08]  aan elkaar gerelateerd waren.
[1523.28 --> 1524.14]  Die twee maakten...
[1524.14 --> 1525.08]  ik kon niet een connectie tussen maken...
[1525.08 --> 1526.24]  maar verder werd hij aan...
[1526.24 --> 1527.22]  het lot overgelaten.
[1527.30 --> 1529.08]  Hij had verder geen instructies...
[1529.08 --> 1531.08]  en moest soort van...
[1531.08 --> 1533.08]  uit die chaos van...
[1533.08 --> 1535.08]  van beelden die het uit het niet kreeg...
[1535.08 --> 1536.08]  en audio daar...
[1536.76 --> 1537.08]  ja...
[1537.72 --> 1538.50]  Hoe zeg je dat?
